country,parameter,posterior_draws,unique_values,mean,sd,coefficient_of_variation,q025,median,q975,varies_within_country,grid_override_in_fig3d,uncertainty_source
New_Zealand,fitness_R,100,1,1.0,0.0,0.0,1.0,1.0,1.0,False,True,conditional_beta_grid_posterior
New_Zealand,resistance_prevalence,100,1,0.009999999999999998,1.7434626923745965e-18,1.7434626923745968e-16,0.01,0.01,0.01,False,False,conditional_beta_grid_posterior
New_Zealand,reporting_trend_end_multiplier,100,1,1.0,0.0,0.0,1.0,1.0,1.0,False,False,conditional_beta_grid_posterior
South_Africa,beta_S,100,85,0.011276187551490431,2.017424940187034e-05,0.0017891019734949166,0.011246829216871737,0.011274438513343794,0.011320201783481997,True,False,conditional_beta_grid_posterior
South_Africa,reporting_multiplier,100,1,1.0359838960607355,0.0,0.0,1.0359838960607355,1.0359838960607355,1.0359838960607355,False,False,conditional_beta_grid_posterior
South_Africa,VE_sus,100,1,0.15,0.0,0.0,0.15,0.15,0.15,False,False,conditional_beta_grid_posterior
South_Africa,VE_inf,100,1,0.25,0.0,0.0,0.25,0.25,0.25,False,True,conditional_beta_grid_posterior
South_Africa,VE_dur,100,1,0.0,0.0,,0.0,0.0,0.0,False,False,conditional_beta_grid_posterior
South_Africa,relative_infectiousness_asymptomatic,100,1,0.3500000000000001,5.579080615598709e-17,1.594023033028202e-16,0.35000000000000003,0.35000000000000003,0.35000000000000003,False,False,conditional_beta_grid_posterior
South_Africa,infectious_duration_symptomatic,100,1,21.0,0.0,0.0,21.0,21.0,21.0,False,False,conditional_beta_grid_posterior
South_Africa,infectious_duration_asymptomatic,100,1,13.999999999999998,1.785305796991587e-15,1.275218426422562e-16,13.999999999999996,13.999999999999996,13.999999999999996,False,False,conditional_beta_grid_posterior
South_Africa,fitness_R,100,1,1.0,0.0,0.0,1.0,1.0,1.0,False,True,conditional_beta_grid_posterior
South_Africa,resistance_prevalence,100,1,0.019999999999999997,3.486925384749193e-18,1.7434626923745968e-16,0.02,0.02,0.02,False,False,conditional_beta_grid_posterior
South_Africa,reporting_trend_end_multiplier,100,1,1.0,0.0,0.0,1.0,1.0,1.0,False,False,conditional_beta_grid_posterior
Sweden,beta_S,100,90,0.012522843177052767,1.4313390807553331e-05,0.001142982516444957,0.01249506624240217,0.012521663845568149,0.012551391375135992,True,False,conditional_beta_grid_posterior
Sweden,reporting_multiplier,100,1,0.976238192637416,3.3474483693592255e-16,3.4289258447425844e-16,0.9762381926374163,0.9762381926374163,0.9762381926374163,False,False,conditional_beta_grid_posterior
Sweden,VE_sus,100,1,0.15,0.0,0.0,0.15,0.15,0.15,False,False,conditional_beta_grid_posterior
Sweden,VE_inf,100,1,0.25,0.0,0.0,0.25,0.25,0.25,False,True,conditional_beta_grid_posterior
Sweden,VE_dur,100,1,0.0,0.0,,0.0,0.0,0.0,False,False,conditional_beta_grid_posterior
Sweden,relative_infectiousness_asymptomatic,100,1,0.3500000000000001,5.579080615598709e-17,1.594023033028202e-16,0.35000000000000003,0.35000000000000003,0.35000000000000003,False,False,conditional_beta_grid_posterior
Sweden,infectious_duration_symptomatic,100,1,21.0,0.0,0.0,21.0,21.0,21.0,False,False,conditional_beta_grid_posterior
Sweden,infectious_duration_asymptomatic,100,1,13.999999999999998,1.785305796991587e-15,1.275218426422562e-16,13.999999999999996,13.999999999999996,13.999999999999996,False,False,conditional_beta_grid_posterior
Sweden,fitness_R,100,1,1.0,0.0,0.0,1.0,1.0,1.0,False,True,conditional_beta_grid_posterior
Sweden,resistance_prevalence,100,1,0.009999999999999998,1.7434626923745965e-18,1.7434626923745968e-16,0.01,0.01,0.01,False,False,conditional_beta_grid_posterior
