country,iso3,year,infant_0_2m,infant_3_11m,child_1_4y,child_5_9y,adolescent_10_17y,young_adult_18_39y,middle_adult_40_64y,elderly_65plus,births,total_population,source,source_type
Australia,AUS,1968,38692.58333333333,193462.9166666667,911267.8080003428,1144806.036482233,1860548.4407278139,5517174.363254439,4109208.5996478572,1712759.2734969654,232155.5,11667278.11840386,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1969,40161.33333333333,200806.66666666666,945859.0520501414,1188262.2681739212,1931173.875550223,5726603.384217456,4265191.984854741,1777774.7096924982,240968.0,11867421.817286383,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1970,41632.666666666664,208163.33333333334,980511.1374369921,1231794.9335213506,2001923.5309955827,5936400.762607415,4421449.723817166,1842904.4992793538,249796.0,12241901.494731683,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1971,43311.5,216557.5,1020050.1560257719,1281466.9473460738,2082650.9074456398,6175785.560129171,4599744.264434352,1917219.4483627696,259869.00000000003,12067846.19671218,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1972,43874.24999999999,219371.25,1033303.7543842563,1298117.1562887102,2109710.967664405,6256028.066714319,4659509.132536597,1942130.04357573,263245.5,12831854.740433827,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1973,42437.0,212185.00000000003,999454.3821217386,1255592.922076708,2040600.2230186122,6051090.629860467,4506871.093123087,1878508.9809905186,254622.0,13467075.686253767,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1974,40619.916666666664,203099.58333333334,956659.3706887821,1201830.4748689204,1953225.0396822924,5791992.768748491,4313894.201523875,1798074.2810618042,243719.5,13343525.869148646,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1975,39203.58333333333,196017.9166666667,923302.6169940089,1159925.1067082435,1885120.0813707083,5590037.838803104,4163477.542518133,1735379.1120643986,235221.5,13682828.224070737,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1976,38079.166666666664,190395.83333333334,896820.9343861262,1126656.7416463457,1831052.0534524804,5429707.298102168,4044062.8578885454,1685605.8762864512,228475.0,14086004.932182493,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1977,37560.08333333333,187800.4166666667,884595.7508862002,1111298.5080459188,1806091.7224732582,5355691.220282104,3988935.4532670598,1662628.2222687504,225360.5,14101777.110318504,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1978,37357.58333333333,186787.91666666666,879826.5751108236,1105307.0956765115,1796354.4284807215,5326816.751008905,3967429.658881089,1653664.3919166855,224145.5,14328805.216390718,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1979,37144.49999999999,185722.5,874808.1461159111,1099002.5518787443,1786108.230645777,5296433.2045350075,3944799.8991095144,1644232.0815421052,222867.0,14512404.766555969,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1980,37444.916666666664,187224.58333333334,881883.4048279409,1107891.046360931,1800553.8869598075,5339269.608539075,3976704.585842611,1657530.2743072058,224669.5,14645990.873533247,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1981,38392.5,191962.50000000003,904200.3997834167,1135927.4044072393,1846118.8128812609,5474385.489240945,4077339.3133993475,1699475.8360081648,230355.0,14639656.816015253,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1982,39381.25,196906.25,927486.9308841747,1165181.769741814,1893663.2545361763,5615371.323778602,4182346.0008024494,1743243.674332136,236287.5,14954905.063291138,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1983,39934.75,199673.75000000003,940522.6780035371,1181558.2968848601,1920278.5247824427,5694294.873125346,4241128.505457436,1767744.8106277804,239608.5,15201655.881233344,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1984,40142.5,200712.50000000003,945415.4990767937,1187705.0421675483,1930268.2671377487,5723917.939750073,4263191.857475635,1776941.0365815656,240855.0,15791699.449252557,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1985,40151.5,200757.5,945627.4624445882,1187971.3271617442,1930701.0357596392,5725201.249495547,4264147.670559456,1777339.4290416574,240909.0,15619100.10373444,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1986,40145.5,200727.5,945486.1535327252,1187793.8038322802,1930412.5233450455,5724345.7096652305,4263510.461836908,1777073.8340682627,240873.0,15880340.189873418,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1987,40511.666666666664,202558.33333333334,954109.9224039203,1198627.6581331755,1948019.794868998,5776557.404309854,4302397.894154584,1793282.505083478,243070.0,16237140.948563794,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1988,41137.83333333333,205689.1666666667,968857.0774558458,1217154.1900441737,1978129.2710253433,5865842.491601549,4368897.704449309,1821000.2916124559,246827.0,16603457.554150412,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1989,41931.99999999999,209660.0,987560.8820399354,1240651.3751801616,2016317.0947903113,5979082.694142119,4453239.358975357,1856154.73739648,251592.0,16912610.91691315,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1990,42785.666666666664,213928.33333333334,1007666.0,1265909.0,2057366.0,6100807.0,4543900.0,1893943.0,256714.0,17126305.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1991,43247.666666666664,216238.33333333334,1018632.0,1277964.0,2040150.0,6157076.0,4649825.0,1950060.0,259486.0,17353193.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1992,43231.5,216157.5,1030120.0,1283986.0,2032269.0,6190648.0,4749882.0,2002994.0,259389.0,17549288.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1993,43198.83333333333,215994.1666666667,1038200.0,1285983.0,2032210.0,6204384.0,4850741.0,2052200.0,259193.0,17722911.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1994,43218.83333333333,216094.1666666667,1042252.0,1288722.0,2040513.0,6208933.0,4959266.0,2098436.0,259313.0,17897435.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1995,43038.166666666664,215190.83333333334,1043472.0,1296849.0,2056282.0,6219212.0,5077625.0,2143676.0,258229.0,18095345.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1996,42720.33333333333,213601.6666666667,1043082.0,1308244.0,2072795.0,6227463.0,5207547.0,2189852.0,256322.0,18305305.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1997,42332.5,211662.5,1042991.0,1319487.0,2084996.0,6221120.0,5348913.0,2233409.0,253995.0,18504911.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1998,42036.83333333333,210184.1666666667,1041127.0,1330920.0,2097797.0,6206448.0,5497952.0,2275247.0,252221.0,18701712.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1999,42026.83333333333,210134.1666666667,1036023.0,1341613.0,2115671.0,6196509.0,5651214.0,2316792.0,252161.0,18909983.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2000,42125.0,210625.0,1031205.0,1348381.0,2137707.0,6194621.0,5807226.0,2360583.0,252750.0,19132473.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2001,42040.83333333333,210204.1666666667,1028889.0,1349477.0,2161195.0,6201650.0,5962152.0,2409831.0,252245.0,19365439.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2002,41838.33333333333,209191.6666666667,1027611.0,1345546.0,2180709.0,6219596.0,6111132.0,2459735.0,251030.0,19595359.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2003,41866.0,209330.0,1026386.0,1339418.0,2194944.0,6246733.0,6252143.0,2508632.0,251196.0,19819452.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2004,42334.33333333333,211671.6666666667,1025705.0,1333895.0,2208177.0,6281993.0,6382793.0,2560115.0,254006.0,20046684.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2005,43312.0,216560.0,1027912.0,1331510.0,2222475.0,6333923.0,6503850.0,2614948.0,259872.0,20294490.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2006,45058.166666666664,225290.83333333334,1038315.0,1332889.0,2236016.0,6417023.0,6620739.0,2675235.0,270349.0,20590566.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2007,47188.666666666664,235943.33333333334,1062543.0,1336951.0,2246336.0,6543277.0,6739871.0,2742436.0,283132.0,20954546.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2008,48681.83333333333,243409.1666666667,1098158.0,1343979.0,2252482.0,6705717.0,6862102.0,2816066.0,292091.0,21370595.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2009,49412.33333333333,247061.6666666667,1133899.0,1354734.0,2256060.0,6859306.0,6982152.0,2900390.0,296474.0,21783015.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2010,49459.666666666664,247298.33333333334,1159453.0,1371376.0,2259500.0,6956674.0,7102222.0,2995600.0,296758.0,22141583.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2011,49561.33333333333,247806.6666666667,1177170.0,1396584.0,2263196.0,7023492.0,7220027.0,3101942.0,297368.0,22479779.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2012,50682.33333333333,253411.6666666667,1197209.0,1429236.0,2265934.0,7113753.0,7322926.0,3219497.0,304094.0,22852649.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2013,51555.666666666664,257778.33333333334,1220095.0,1466480.0,2268434.0,7223020.0,7410711.0,3338198.0,309334.0,23236272.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2014,51552.166666666664,257760.83333333334,1238696.0,1505371.0,2274545.0,7329010.0,7485590.0,3453075.0,309313.0,23595600.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2015,52012.33333333333,260061.6666666667,1250932.0,1542462.0,2288594.0,7437921.0,7547895.0,3568120.0,312074.0,23947998.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2016,52458.83333333333,262294.1666666667,1262113.0,1573481.0,2315639.0,7568449.0,7609339.0,3686189.0,314753.0,24329963.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2017,51703.666666666664,258518.33333333334,1270123.0,1596458.0,2354639.0,7717987.0,7676096.0,3805519.0,310222.0,24731044.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2018,50889.83333333333,254449.1666666667,1267731.0,1613133.0,2398045.0,7861710.0,7744781.0,3928961.0,305339.0,25119700.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2019,50501.166666666664,252505.83333333334,1258267.0,1623904.0,2444842.0,7964066.0,7825393.0,4063235.0,303007.0,25482714.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2020,50088.0,250440.0,1242741.0,1627451.0,2492909.0,7962740.0,7911214.0,4206204.0,300528.0,25743787.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2021,50392.33333333333,251961.6666666667,1225602.0,1624340.0,2537799.0,7929695.0,7989136.0,4347491.0,302354.0,25956417.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2022,50821.0,254105.0,1219036.0,1613877.0,2579718.0,7943450.0,8066152.0,4473828.0,304926.0,26200987.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2023,50871.0,254355.0,1221195.0,1597753.0,2614577.0,7964953.0,8149155.0,4598267.0,305226.0,26451126.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2024,51121.83333333333,255609.1666666667,1228991.0,1583542.0,2636289.0,7985090.0,8236312.0,4736251.0,306731.0,26713206.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2025,51229.166666666664,256145.83333333334,1241093.0,1572794.0,2646114.0,8006141.0,8320094.0,4880413.0,307375.0,26974024.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2026,51081.33333333333,255406.6666666667,1249083.0,1566715.0,2649267.0,8029165.0,8398671.0,5027708.0,306488.0,27227097.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2027,50916.33333333333,254581.6666666667,1252197.0,1568905.0,2645916.0,8052695.0,8473382.0,5175676.0,305498.0,27474269.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2028,50770.33333333333,253851.6666666667,1253038.0,1577195.0,2637289.0,8076657.0,8548934.0,5321114.0,304622.0,27718849.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2029,50568.166666666664,252840.83333333334,1250820.0,1589146.0,2626585.0,8095748.0,8631202.0,5459660.0,303409.0,27956570.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2030,50367.0,251835.0,1246820.0,1601511.0,2614913.0,8111725.0,8723312.0,5588056.0,302202.0,28188539.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2031,50209.5,251047.5,1242751.0,1608750.0,2606823.0,8130681.0,8819238.0,5708297.0,301257.0,28417797.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2032,50100.666666666664,250503.33333333334,1238684.0,1611165.0,2603749.0,8152911.0,8909901.0,5824902.0,300604.0,28641916.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2033,50105.0,250525.0,1234858.0,1611251.0,2602862.0,8177175.0,8991842.0,5942990.0,300630.0,28861608.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2034,50226.83333333333,251134.1666666667,1232370.0,1608268.0,2604625.0,8202162.0,9065345.0,6064866.0,301361.0,29078997.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2035,50482.33333333333,252411.6666666667,1231970.0,1603801.0,2611672.0,8226622.0,9126597.0,6192614.0,302894.0,29296170.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2036,50811.83333333333,254059.1666666667,1234217.0,1599519.0,2622609.0,8254472.0,9171273.0,6326653.0,304871.0,29513614.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2037,51187.5,255937.5,1238804.0,1595482.0,2634253.0,8287882.0,9206771.0,6456316.0,307125.0,29726633.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2038,51647.83333333333,258239.1666666667,1245523.0,1592436.0,2644993.0,8329220.0,9243297.0,6572689.0,309887.0,29938045.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2039,52115.0,260575.0,1254236.0,1591367.0,2650285.0,8379289.0,9284013.0,6676544.0,312690.0,30148424.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2040,52561.83333333333,262809.1666666667,1264201.0,1592959.0,2650665.0,8435222.0,9328496.0,6770540.0,315371.0,30357454.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2041,53051.83333333333,265259.1666666667,1275294.0,1597695.0,2649104.0,8500640.0,9371765.0,6857465.0,318311.0,30570274.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2042,53547.5,267737.5,1287309.0,1605571.0,2645290.0,8576605.0,9410274.0,6939999.0,321285.0,30786333.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2043,53983.166666666664,269915.8333333334,1299431.0,1616204.0,2641147.0,8652563.0,9447268.0,7021705.0,323899.0,31002217.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2044,54381.33333333333,271906.6666666667,1311080.0,1628820.0,2638667.0,8718565.0,9486364.0,7106312.0,326288.0,31216096.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2045,54728.666666666664,273643.3333333334,1322420.0,1642776.0,2638913.0,8773075.0,9528134.0,7197439.0,328372.0,31431129.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2046,55018.166666666664,275090.8333333334,1333229.0,1658092.0,2642452.0,8815887.0,9573073.0,7297641.0,330109.0,31650483.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2047,55251.5,276257.5,1342484.0,1673865.0,2649294.0,8843917.0,9618943.0,7406206.0,331509.0,31866218.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2048,55500.666666666664,277503.3333333334,1350495.0,1689378.0,2660175.0,8865248.0,9663013.0,7520306.0,333004.0,32081619.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2049,55755.83333333333,278779.1666666667,1357557.0,1704421.0,2674938.0,8884195.0,9704951.0,7636585.0,334535.0,32297182.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,2050,55938.0,279690.0,1363587.0,1718367.0,2692741.0,8898829.0,9744710.0,7753103.0,335628.0,32506965.0,UN WPP 2024 one-year age population (annual 1990-2050),derived
China,CHN,1950,3195346.0,15976730.000000002,72092738.97881775,76926563.93362711,120769835.72431582,329868261.4097987,163972910.74564728,44204839.80337738,19172076.0,467874075.701003,UN WPP 2024 one-year age population (annual 1990-2050),derived
China,CHN,1951,3379309.3333333335,16896546.666666668,76243281.85325865,81355401.09965226,127722829.7180693,348859527.1224376,173413203.98373118,46749812.92356384,20275856.0,507023155.78894717,UN WPP 2024 one-year age population (annual 1990-2050),derived
China,CHN,1952,3629931.4166666665,18149657.083333336,81897765.72952041,87389018.65365753,137195227.33418113,374732240.4060909,186274168.80610248,50216952.020531334,21779588.5,482746442.5037681,UN WPP 2024 one-year age population (annual 1990-2050),derived
China,CHN,1953,3788680.833333333,18943404.166666668,85479437.40413392,91210841.7521997,143195247.6675548,391120573.336438,194420580.47169575,52413112.47784319,22732085.0,543881830.7972054,UN WPP 2024 one-year age population (annual 1990-2050),derived
China,CHN,1954,3790805.4166666665,18954027.083333336,85527371.81614712,91261990.17106387,143275547.4473437,391339902.5140566,194529605.9460226,52442504.24508809,22744832.5,527624396.8636913,UN WPP 2024 one-year age population (annual 1990-2050),derived
China,CHN,1955,3919311.083333333,19596555.416666668,88426690.22620317,94355708.154239,148132488.84053773,404606052.9855988,201124024.26899707,54220268.658965714,23515866.5,551665998.0763365,UN WPP 2024 one-year age population (annual 1990-2050),derived
China,CHN,1956,3844372.6666666665,19221863.333333336,86735945.08867006,92551598.39561096,145300150.72432947,396869862.5327851,197278471.92270863,53183560.676835224,23066236.0,583718898.673955,UN WPP 2024 one-year age population (annual 1990-2050),derived
China,CHN,1957,3954588.9166666665,19772944.583333336,89222621.44311622,95205006.63438998,149465833.6915731,408247923.86530054,202934347.47545627,54708306.87802251,23727533.5,552548402.4963905,UN WPP 2024 one-year age population (annual 1990-2050),derived
China,CHN,1958,3955131.25,19775656.250000004,89234857.45619258,95218063.07329832,149486331.47415268,408303911.08977365,202962177.94366255,54715809.58919057,23730787.5,629513953.3649893,UN WPP 2024 one-year age population (annual 1990-2050),derived
China,CHN,1959,3384205.4166666665,16921027.083333336,76353746.27800907,81473272.17451115,127907879.84405228,349364969.2551156,173664452.21644834,46817545.98890762,20305232.5,652544670.1160138,UN WPP 2024 one-year age population (annual 1990-2050),derived
China,CHN,1960,2902064.75,14510323.75,65475787.76175662,69865945.51275529,109685111.75904821,299591672.8833629,148922840.9786731,40147548.144325666,17412388.5,590430588.9932522,UN WPP 2024 one-year age population (annual 1990-2050),derived
China,CHN,1961,2645759.9166666665,13228799.583333334,59693090.84927535,63695518.2263474,99997931.52347597,273132306.74192005,135770259.2051047,36601793.131149836,15874559.5,616727253.3022534,UN WPP 2024 one-year age population (annual 1990-2050),derived
China,CHN,1962,3338241.333333333,16691206.666666666,75316714.08739476,80366706.8776099,126170642.37637728,344619914.3357229,171305751.61440957,46181672.77190417,20029448.0,496565053.5501785,UN WPP 2024 one-year age population (annual 1990-2050),derived
China,CHN,1963,4684562.416666666,23422812.083333332,105692133.35104544,112778800.87063342,177055578.17561454,483605988.1626334,240393789.91523826,64806856.965622,28107374.5,575028119.8854337,UN WPP 2024 one-year age population (annual 1990-2050),derived
China,CHN,1964,4943272.999999999,24716365.0,111529108.3000205,119007145.5410064,186833685.037691,510313709.43365747,253669825.55891222,68385893.44295132,29659638.0,695142334.8255091,UN WPP 2024 one-year age population (annual 1990-2050),derived
China,CHN,1965,4687540.333333333,23437701.666666668,105759320.49414378,112850492.91801964,177168130.15171793,483913410.33020365,240546605.18588233,64848053.85922846,28125242.0,676754541.7358454,UN WPP 2024 one-year age population (annual 1990-2050),derived
China,CHN,1966,4630435.25,23152176.250000004,104470927.35389742,111475712.8960825,175009812.54442593,478018225.72208035,237616191.1610664,64058054.57254448,27782611.5,706164031.7210177,UN WPP 2024 one-year age population (annual 1990-2050),derived
China,CHN,1967,4438140.416666666,22190702.083333336,100132410.8907428,106846298.49447377,167741924.9878667,458166866.166729,227748357.27296296,61397822.377809644,26628842.5,737661500.3185683,UN WPP 2024 one-year age population (annual 1990-2050),derived
China,CHN,1968,4638813.166666667,23194065.833333336,104659948.1858938,111677407.5927097,175326460.45033202,478883111.3416876,238046113.73653018,64173955.78140763,27832879.0,686824573.0924884,UN WPP 2024 one-year age population (annual 1990-2050),derived
China,CHN,1969,4916581.916666667,24582909.583333336,110926909.56980105,118364569.32907212,185824881.06169885,507558282.86817425,252300141.45424214,68016645.46075203,29499491.5,765504761.7811916,UN WPP 2024 one-year age population (annual 1990-2050),derived
China,CHN,1970,4912433.583333332,24562167.916666664,110833315.72669385,118264700.00994839,185668092.5526621,507130033.9385074,252087264.8858173,67959256.86795142,29474601.5,771303749.934579,UN WPP 2024 one-year age population (annual 1990-2050),derived
China,CHN,1971,4825000.416666667,24125002.083333336,108860666.61057578,116159784.58435668,182363508.58110163,498103960.8065567,247600529.85491845,66749694.85932952,28950002.5,823566297.7924442,UN WPP 2024 one-year age population (annual 1990-2050),derived
China,CHN,1972,4608157.5,23040787.500000004,103968301.34225883,110939385.76291059,174167812.89624783,475718405.0890027,236472982.40922427,63749861.22824634,27648945.0,835063273.935367,UN WPP 2024 one-year age population (annual 1990-2050),derived
China,CHN,1973,4455432.666666667,22277163.333333336,100522555.07719599,107262601.88546218,168395494.9586316,459952013.82941204,228635729.2714387,61637045.65475366,26732596.0,853694705.2436609,UN WPP 2024 one-year age population (annual 1990-2050),derived
China,CHN,1974,4224609.833333333,21123049.166666668,95314777.80554806,101705642.6560837,159671420.73847273,436123255.77774864,216790786.07961404,58443812.00479473,25347659.0,891644118.4747431,UN WPP 2024 one-year age population (annual 1990-2050),derived
China,CHN,1975,3870627.9999999995,19353140.0,87328312.51704928,93183684.11598845,146292485.29265285,399580304.89470816,198625795.0073648,53546780.43581727,23223768.0,921029863.1766804,UN WPP 2024 one-year age population (annual 1990-2050),derived
China,CHN,1976,3591634.4166666665,17958172.083333336,81033716.69549662,86467035.05032752,135747771.44091195,370778688.9574493,184308913.53708744,49687146.24990432,21549806.5,910773276.7000549,UN WPP 2024 one-year age population (annual 1990-2050),derived
