country_or_region,config_key,iso3,year,reported_cases,source,source_type
Brazil,Brazil,BRA,2008,1275.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Brazil,Brazil,BRA,2007,596.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Brazil,Brazil,BRA,2006,797.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Brazil,Brazil,BRA,2005,1328.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Brazil,Brazil,BRA,2004,1146.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Brazil,Brazil,BRA,2003,1110.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Brazil,Brazil,BRA,2002,406.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Brazil,Brazil,BRA,2001,657.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Brazil,Brazil,BRA,2000,764.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
China,China,CHN,2024,476690.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
China,China,CHN,2023,41124.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
China,China,CHN,2022,38295.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
China,China,CHN,2021,9611.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
China,China,CHN,2020,4475.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
China,China,CHN,2019,30027.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
China,China,CHN,2018,22057.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
China,China,CHN,2017,10390.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
China,China,CHN,2016,5584.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
China,China,CHN,2015,6658.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
China,China,CHN,2014,3408.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
China,China,CHN,2013,1712.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
China,China,CHN,2012,2183.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
China,China,CHN,2011,2517.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
China,China,CHN,2010,1764.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
China,China,CHN,2009,1612.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
China,China,CHN,2008,2387.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
China,China,CHN,2006,2595.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
China,China,CHN,2005,3844.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
China,China,CHN,2004,4705.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
China,China,CHN,2003,858.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
China,China,CHN,2002,6293.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
China,China,CHN,2001,6407.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
China,China,CHN,2000,5561.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Japan,Japan,JPN,2024,4095.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Japan,Japan,JPN,2021,752.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Japan,Japan,JPN,2020,2947.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Japan,Japan,JPN,2019,16845.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Japan,Japan,JPN,2018,12103.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Japan,Japan,JPN,2017,1661.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Japan,Japan,JPN,2016,3011.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Japan,Japan,JPN,2015,2675.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Japan,Japan,JPN,2014,2066.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Japan,Japan,JPN,2013,1663.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Japan,Japan,JPN,2012,4087.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Japan,Japan,JPN,2011,4395.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Japan,Japan,JPN,2010,5406.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Japan,Japan,JPN,2009,5208.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Japan,Japan,JPN,2008,6753.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Japan,Japan,JPN,2006,1504.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Japan,Japan,JPN,2004,1534.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Japan,Japan,JPN,2003,1534.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Japan,Japan,JPN,2002,11740.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Japan,Japan,JPN,2001,3804.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Japan,Japan,JPN,2000,3787.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
New Zealand,New_Zealand,NZL,2024,1748.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
New Zealand,New_Zealand,NZL,2022,18.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
New Zealand,New_Zealand,NZL,2021,43.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
New Zealand,New_Zealand,NZL,2020,171.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
New Zealand,New_Zealand,NZL,2019,1206.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
New Zealand,New_Zealand,NZL,2018,2952.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
New Zealand,New_Zealand,NZL,2017,2143.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
New Zealand,New_Zealand,NZL,2016,1096.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
New Zealand,New_Zealand,NZL,2015,1168.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
New Zealand,New_Zealand,NZL,2014,1099.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
New Zealand,New_Zealand,NZL,2013,3396.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
New Zealand,New_Zealand,NZL,2012,5598.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
New Zealand,New_Zealand,NZL,2011,1992.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
New Zealand,New_Zealand,NZL,2010,462.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
New Zealand,New_Zealand,NZL,2009,656.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
New Zealand,New_Zealand,NZL,2007,331.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
New Zealand,New_Zealand,NZL,2006,1122.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
New Zealand,New_Zealand,NZL,2005,2720.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
New Zealand,New_Zealand,NZL,2004,3489.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
New Zealand,New_Zealand,NZL,2003,589.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
New Zealand,New_Zealand,NZL,2002,1068.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
New Zealand,New_Zealand,NZL,2001,4143.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
New Zealand,New_Zealand,NZL,2000,4143.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South Africa,South_Africa,ZAF,2024,79.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South Africa,South_Africa,ZAF,2023,268.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South Africa,South_Africa,ZAF,2022,789.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South Africa,South_Africa,ZAF,2021,557.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South Africa,South_Africa,ZAF,2020,104.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South Africa,South_Africa,ZAF,2019,557.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South Africa,South_Africa,ZAF,2018,955.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South Africa,South_Africa,ZAF,2017,102.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South Africa,South_Africa,ZAF,2016,40.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South Africa,South_Africa,ZAF,2015,103.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South Africa,South_Africa,ZAF,2014,230.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South Africa,South_Africa,ZAF,2013,116.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South Africa,South_Africa,ZAF,2011,181.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South Africa,South_Africa,ZAF,2009,4.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South Africa,South_Africa,ZAF,2003,8.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South Africa,South_Africa,ZAF,2002,5.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South Africa,South_Africa,ZAF,2001,24.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South Africa,South_Africa,ZAF,2000,8.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Sweden,Sweden,SWE,2024,2545.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Sweden,Sweden,SWE,2023,138.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Sweden,Sweden,SWE,2022,13.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Sweden,Sweden,SWE,2021,11.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Sweden,Sweden,SWE,2020,269.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Sweden,Sweden,SWE,2019,782.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Sweden,Sweden,SWE,2018,739.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Sweden,Sweden,SWE,2017,805.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Sweden,Sweden,SWE,2016,679.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Sweden,Sweden,SWE,2015,603.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Sweden,Sweden,SWE,2014,703.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Sweden,Sweden,SWE,2013,237.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Sweden,Sweden,SWE,2012,289.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Sweden,Sweden,SWE,2011,177.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Sweden,Sweden,SWE,2010,266.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Sweden,Sweden,SWE,2009,281.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Sweden,Sweden,SWE,2008,459.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Sweden,Sweden,SWE,2007,689.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Sweden,Sweden,SWE,2006,795.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Sweden,Sweden,SWE,2005,1360.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Sweden,Sweden,SWE,2004,1371.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Sweden,Sweden,SWE,2003,664.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Sweden,Sweden,SWE,2002,1350.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Sweden,Sweden,SWE,2001,979.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Sweden,Sweden,SWE,2000,2705.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Thailand,Thailand,THA,2024,2477.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Thailand,Thailand,THA,2023,737.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Thailand,Thailand,THA,2022,10.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Thailand,Thailand,THA,2020,90.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Thailand,Thailand,THA,2019,99.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Thailand,Thailand,THA,2018,79.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Thailand,Thailand,THA,2017,55.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Thailand,Thailand,THA,2016,84.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Thailand,Thailand,THA,2015,51.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Thailand,Thailand,THA,2014,14.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Thailand,Thailand,THA,2013,24.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Thailand,Thailand,THA,2012,14.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Thailand,Thailand,THA,2011,12.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Thailand,Thailand,THA,2010,6.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Thailand,Thailand,THA,2009,25.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Thailand,Thailand,THA,2008,16.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Thailand,Thailand,THA,2007,23.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Thailand,Thailand,THA,2006,72.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Thailand,Thailand,THA,2005,23.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Thailand,Thailand,THA,2004,21.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Thailand,Thailand,THA,2003,24.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Thailand,Thailand,THA,2002,15.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Thailand,Thailand,THA,2001,72.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Thailand,Thailand,THA,2000,93.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United Kingdom of Great Britain and Northern Ireland,United_Kingdom,GBR,2024,26277.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United Kingdom of Great Britain and Northern Ireland,United_Kingdom,GBR,2023,942.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United Kingdom of Great Britain and Northern Ireland,United_Kingdom,GBR,2022,79.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United Kingdom of Great Britain and Northern Ireland,United_Kingdom,GBR,2021,54.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United Kingdom of Great Britain and Northern Ireland,United_Kingdom,GBR,2020,1226.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United Kingdom of Great Britain and Northern Ireland,United_Kingdom,GBR,2019,4613.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United Kingdom of Great Britain and Northern Ireland,United_Kingdom,GBR,2018,3423.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United Kingdom of Great Britain and Northern Ireland,United_Kingdom,GBR,2017,5097.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United Kingdom of Great Britain and Northern Ireland,United_Kingdom,GBR,2016,7085.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United Kingdom of Great Britain and Northern Ireland,United_Kingdom,GBR,2015,5207.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United Kingdom of Great Britain and Northern Ireland,United_Kingdom,GBR,2014,4046.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United Kingdom of Great Britain and Northern Ireland,United_Kingdom,GBR,2013,6090.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United Kingdom of Great Britain and Northern Ireland,United_Kingdom,GBR,2012,11980.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United Kingdom of Great Britain and Northern Ireland,United_Kingdom,GBR,2011,1243.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United Kingdom of Great Britain and Northern Ireland,United_Kingdom,GBR,2010,518.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United Kingdom of Great Britain and Northern Ireland,United_Kingdom,GBR,2009,846.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United Kingdom of Great Britain and Northern Ireland,United_Kingdom,GBR,2008,1028.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United Kingdom of Great Britain and Northern Ireland,United_Kingdom,GBR,2007,1163.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United Kingdom of Great Britain and Northern Ireland,United_Kingdom,GBR,2006,478.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United Kingdom of Great Britain and Northern Ireland,United_Kingdom,GBR,2005,358.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United Kingdom of Great Britain and Northern Ireland,United_Kingdom,GBR,2004,169.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United Kingdom of Great Britain and Northern Ireland,United_Kingdom,GBR,2003,521.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United Kingdom of Great Britain and Northern Ireland,United_Kingdom,GBR,2002,1054.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United Kingdom of Great Britain and Northern Ireland,United_Kingdom,GBR,2001,1049.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United Kingdom of Great Britain and Northern Ireland,United_Kingdom,GBR,2000,866.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United States of America,United_States,USA,2023,3044.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United States of America,United_States,USA,2022,2115.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United States of America,United_States,USA,2021,6126.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United States of America,United_States,USA,2020,18617.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United States of America,United_States,USA,2018,15609.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United States of America,United_States,USA,2017,18975.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United States of America,United_States,USA,2016,17972.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United States of America,United_States,USA,2015,20679.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United States of America,United_States,USA,2014,32971.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United States of America,United_States,USA,2013,28639.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United States of America,United_States,USA,2012,48277.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United States of America,United_States,USA,2011,18719.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United States of America,United_States,USA,2010,27550.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United States of America,United_States,USA,2009,0.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United States of America,United_States,USA,2008,13213.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United States of America,United_States,USA,2007,10454.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United States of America,United_States,USA,2006,15632.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United States of America,United_States,USA,2005,25616.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United States of America,United_States,USA,2004,25827.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United States of America,United_States,USA,2003,11647.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United States of America,United_States,USA,2002,9771.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United States of America,United_States,USA,2001,7580.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
United States of America,United_States,USA,2000,7867.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
