country,iso3,year,source_sheet,source_age_group,normalized_age_group,age_start_years,age_end_years_exclusive,reported_cases,total_reported_cases_known_age,reported_case_share_known_age,wpp_population_denominator,reported_incidence_per_100k,model_age_groups,model_age_alignment,target_role,target_strength,age_group_note,source,source_type
Australia,AUS,2016,AU,70-74,70-74,70.0,75.0,436.0,20115.0,0.021675366641809597,901360.0,48.37134996006036,elderly_65plus,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2016,AU,75-79,75-79,75.0,80.0,277.0,20115.0,0.013770817797663435,655043.0,42.2873002230388,elderly_65plus,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2016,AU,80-84,80-84,80.0,85.0,127.0,20115.0,0.006313696246582153,461926.0,27.49358122296645,elderly_65plus,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2016,AU,85+,85+,85.0,inf,138.0,20115.0,0.00686055182699478,477065.0,28.92687579260688,elderly_65plus,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2016,AU,Unknow,Unknow,,,2.0,20115.0,9.942828734775044e-05,,,,unknown_age,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2017,AU,00-04,00-04,0.0,5.0,1747.0,12234.0,0.14279875756089586,1580345.0,110.54548215737702,infant_0_2m;infant_3_11m;child_1_4y,exact_union,under5_aggregate_not_infant,secondary_under5_constraint,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2017,AU,05-09,05-09,5.0,10.0,2275.0,12234.0,0.1859571685466732,1596458.0,142.50296594085157,child_5_9y,exact_union,exact_model_age_distribution,secondary_age_distribution_constraint,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2017,AU,10-14,10-14,10.0,15.0,1740.0,12234.0,0.14222658165767532,1482840.0,117.34239702193088,adolescent_10_17y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2017,AU,15-19,15-19,15.0,20.0,738.0,12234.0,0.06032368808239333,1492173.0,49.458072220848386,adolescent_10_17y;young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2017,AU,20-24,20-24,20.0,25.0,377.0,12234.0,0.03081575935916299,1726689.0,21.833694429048894,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2017,AU,25-29,25-29,25.0,30.0,457.0,12234.0,0.037354912538826224,1855851.0,24.624821712518948,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2017,AU,30-34,30-34,30.0,35.0,528.0,12234.0,0.04315841098577734,1840963.0,28.680641598989222,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2017,AU,35-39,35-39,35.0,40.0,541.0,12234.0,0.044221023377472614,1674110.0,32.315678181242575,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2017,AU,40-44,40-44,40.0,45.0,636.0,12234.0,0.05198626777832271,1615784.0,39.361696860471454,middle_adult_40_64y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2017,AU,45-49,45-49,45.0,50.0,623.0,12234.0,0.05092365538662743,1653504.0,37.677562316148006,middle_adult_40_64y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2017,AU,50-54,50-54,50.0,55.0,500.0,12234.0,0.04086970737289521,1549357.0,32.27145196362103,middle_adult_40_64y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2017,AU,55-59,55-59,55.0,60.0,472.0,12234.0,0.038581003760013076,1516502.0,31.124258326068812,middle_adult_40_64y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2017,AU,60-64,60-64,60.0,65.0,408.0,12234.0,0.03334968121628249,1340949.0,30.42621307745485,middle_adult_40_64y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2017,AU,65-69,65-69,65.0,70.0,386.0,12234.0,0.031551414091875105,1204776.0,32.0391508462984,elderly_65plus,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2017,AU,70-74,70-74,70.0,75.0,340.0,12234.0,0.027791401013568744,960463.0,35.39959373760363,elderly_65plus,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2017,AU,75-79,75-79,75.0,80.0,229.0,12234.0,0.018718325976786007,677763.0,33.78762192683873,elderly_65plus,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2017,AU,80-84,80-84,80.0,85.0,120.0,12234.0,0.00980872976949485,474371.0,25.296655992883206,elderly_65plus,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2017,AU,85+,85+,85.0,inf,117.0,12234.0,0.009563511525257478,488146.0,23.968239010459985,elderly_65plus,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2017,AU,Unknow,Unknow,,,1.0,12234.0,8.173941474579042e-05,,,,unknown_age,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2018,AU,00-04,00-04,0.0,5.0,1514.0,12581.0,0.1203401955329465,1573070.0,96.24492234929151,infant_0_2m;infant_3_11m;child_1_4y,exact_union,under5_aggregate_not_infant,secondary_under5_constraint,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2018,AU,05-09,05-09,5.0,10.0,3080.0,12581.0,0.24481360782131786,1613133.0,190.93279971335284,child_5_9y,exact_union,exact_model_age_distribution,secondary_age_distribution_constraint,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2018,AU,10-14,10-14,10.0,15.0,2193.0,12581.0,0.17431046816628248,1526713.0,143.64192877115738,adolescent_10_17y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2018,AU,15-19,15-19,15.0,20.0,663.0,12581.0,0.0526985136316668,1498564.0,44.242354680881164,adolescent_10_17y;young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2018,AU,20-24,20-24,20.0,25.0,386.0,12581.0,0.030681185915269058,1744319.0,22.128979848296098,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2018,AU,25-29,25-29,25.0,30.0,409.0,12581.0,0.03250933948016851,1882944.0,21.72130451038374,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2018,AU,30-34,30-34,30.0,35.0,426.0,12581.0,0.033860583419442015,1872082.0,22.755413491503045,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2018,AU,35-39,35-39,35.0,40.0,518.0,12581.0,0.04117319767903982,1735133.0,29.85361929027919,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2018,AU,40-44,40-44,40.0,45.0,592.0,12581.0,0.047055083061759796,1606559.0,36.84894236688475,middle_adult_40_64y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2018,AU,45-49,45-49,45.0,50.0,581.0,12581.0,0.04618074874811223,1679899.0,34.585412575398884,middle_adult_40_64y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2018,AU,50-54,50-54,50.0,55.0,492.0,12581.0,0.0391065893013274,1545423.0,31.83594394544406,middle_adult_40_64y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2018,AU,55-59,55-59,55.0,60.0,431.0,12581.0,0.034258008107463635,1542453.0,27.9425045690209,middle_adult_40_64y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2018,AU,60-64,60-64,60.0,65.0,378.0,12581.0,0.030045306414434463,1370447.0,27.582241414662516,middle_adult_40_64y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2018,AU,65-69,65-69,65.0,70.0,317.0,12581.0,0.0251967252205707,1218083.0,26.02449915153565,elderly_65plus,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2018,AU,70-74,70-74,70.0,75.0,273.0,12581.0,0.021699387965980445,1018362.0,26.80775598461058,elderly_65plus,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2018,AU,75-79,75-79,75.0,80.0,166.0,12581.0,0.01319449964231778,702754.0,23.621352564339727,elderly_65plus,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2018,AU,80-84,80-84,80.0,85.0,85.0,12581.0,0.006756219696367538,490139.0,17.34201930472784,elderly_65plus,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2018,AU,85+,85+,85.0,inf,77.0,12581.0,0.006120340195532947,499623.0,15.41162036175276,elderly_65plus,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2018,AU,Unknow,Unknow,,,0.0,12581.0,0.0,,,,unknown_age,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2019,AU,00-04,00-04,0.0,5.0,1342.0,12024.0,0.11161011310711909,1561274.0,85.95544407964265,infant_0_2m;infant_3_11m;child_1_4y,exact_union,under5_aggregate_not_infant,secondary_under5_constraint,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2019,AU,05-09,05-09,5.0,10.0,2625.0,12024.0,0.218313373253493,1623904.0,161.6474865509291,child_5_9y,exact_union,exact_model_age_distribution,secondary_age_distribution_constraint,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2019,AU,10-14,10-14,10.0,15.0,2349.0,12024.0,0.19535928143712575,1570194.0,149.599348870267,adolescent_10_17y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2019,AU,15-19,15-19,15.0,20.0,778.0,12024.0,0.0647039254823686,1500662.0,51.84378627565702,adolescent_10_17y;young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2019,AU,20-24,20-24,20.0,25.0,424.0,12024.0,0.03526280771789754,1744293.0,24.307842776414283,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2019,AU,25-29,25-29,25.0,30.0,380.0,12024.0,0.031603459747172324,1900131.0,19.998621147699815,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2019,AU,30-34,30-34,30.0,35.0,465.0,12024.0,0.038672654690618764,1898581.0,24.491975849331684,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2019,AU,35-39,35-39,35.0,40.0,482.0,12024.0,0.04008649367930805,1795047.0,26.851664608224745,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2019,AU,40-44,40-44,40.0,45.0,528.0,12024.0,0.043912175648702596,1612063.0,32.7530623803164,middle_adult_40_64y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2019,AU,45-49,45-49,45.0,50.0,569.0,12024.0,0.04732202262142382,1690220.0,33.664256723976756,middle_adult_40_64y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2019,AU,50-54,50-54,50.0,55.0,482.0,12024.0,0.04008649367930805,1554506.0,31.006634905236776,middle_adult_40_64y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2019,AU,55-59,55-59,55.0,60.0,386.0,12024.0,0.03210246174318031,1562445.0,24.70486961141032,middle_adult_40_64y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2019,AU,60-64,60-64,60.0,65.0,331.0,12024.0,0.027528276779773785,1406159.0,23.539301032102344,middle_adult_40_64y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2019,AU,65-69,65-69,65.0,70.0,284.0,12024.0,0.023619427811044577,1240431.0,22.895267854479613,elderly_65plus,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2019,AU,70-74,70-74,70.0,75.0,248.0,12024.0,0.020625415834996674,1067943.0,23.22221317055311,elderly_65plus,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2019,AU,75-79,75-79,75.0,80.0,190.0,12024.0,0.015801729873586162,733875.0,25.88996763754045,elderly_65plus,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2019,AU,80-84,80-84,80.0,85.0,96.0,12024.0,0.007984031936127744,508590.0,18.875715212646732,elderly_65plus,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2019,AU,85+,85+,85.0,inf,65.0,12024.0,0.00540585495675316,512396.0,12.685501057775626,elderly_65plus,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2019,AU,Unknow,Unknow,,,1.0,12024.0,8.316699933466401e-05,,,,unknown_age,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2020,AU,00-04,00-04,0.0,5.0,378.0,3459.0,0.10928013876843018,1543269.0,24.493461606498933,infant_0_2m;infant_3_11m;child_1_4y,exact_union,under5_aggregate_not_infant,secondary_under5_constraint,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2020,AU,05-09,05-09,5.0,10.0,512.0,3459.0,0.14801965886094248,1627451.0,31.460240584816376,child_5_9y,exact_union,exact_model_age_distribution,secondary_age_distribution_constraint,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2020,AU,10-14,10-14,10.0,15.0,485.0,3459.0,0.14021393466319745,1607254.0,30.17569096110509,adolescent_10_17y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2020,AU,15-19,15-19,15.0,20.0,236.0,3459.0,0.06822781150621567,1495769.0,15.777837353227671,adolescent_10_17y;young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2020,AU,20-24,20-24,20.0,25.0,178.0,3459.0,0.05145995952587453,1707474.0,10.424756101703453,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2020,AU,25-29,25-29,25.0,30.0,147.0,3459.0,0.042497831743278404,1886730.0,7.79125789063618,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2020,AU,30-34,30-34,30.0,35.0,176.0,3459.0,0.050881757733448975,1914199.0,9.194446345442664,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2020,AU,35-39,35-39,35.0,40.0,169.0,3459.0,0.04885805145995953,1844223.0,9.163750804539363,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
