iso3,country_name,who_region,year,introduced,source_type
SWE,Sweden,EURO,2014,True,measured
THA,Thailand,SEARO,2014,False,measured
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2014,True,measured
USA,United States of America,AMRO,2014,True,measured
AUS,Australia,WPRO,2015,True,measured
BRA,Brazil,AMRO,2015,True,measured
CHN,China,WPRO,2015,True,measured
JPN,Japan,WPRO,2015,True,measured
NZL,New Zealand,WPRO,2015,True,measured
ZAF,South Africa,AFRO,2015,True,measured
SWE,Sweden,EURO,2015,True,measured
THA,Thailand,SEARO,2015,False,measured
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2015,True,measured
USA,United States of America,AMRO,2015,True,measured
AUS,Australia,WPRO,2016,True,measured
BRA,Brazil,AMRO,2016,True,measured
CHN,China,WPRO,2016,True,measured
JPN,Japan,WPRO,2016,True,measured
NZL,New Zealand,WPRO,2016,True,measured
ZAF,South Africa,AFRO,2016,True,measured
SWE,Sweden,EURO,2016,True,measured
THA,Thailand,SEARO,2016,False,measured
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2016,True,measured
USA,United States of America,AMRO,2016,True,measured
AUS,Australia,WPRO,2017,True,measured
BRA,Brazil,AMRO,2017,True,measured
CHN,China,WPRO,2017,True,measured
JPN,Japan,WPRO,2017,True,measured
NZL,New Zealand,WPRO,2017,True,measured
ZAF,South Africa,AFRO,2017,True,measured
SWE,Sweden,EURO,2017,True,measured
THA,Thailand,SEARO,2017,False,measured
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2017,True,measured
USA,United States of America,AMRO,2017,True,measured
AUS,Australia,WPRO,2018,True,measured
BRA,Brazil,AMRO,2018,True,measured
CHN,China,WPRO,2018,True,measured
JPN,Japan,WPRO,2018,True,measured
NZL,New Zealand,WPRO,2018,True,measured
ZAF,South Africa,AFRO,2018,True,measured
SWE,Sweden,EURO,2018,True,measured
THA,Thailand,SEARO,2018,False,measured
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2018,True,measured
USA,United States of America,AMRO,2018,True,measured
AUS,Australia,WPRO,2019,True,measured
BRA,Brazil,AMRO,2019,True,measured
CHN,China,WPRO,2019,True,measured
JPN,Japan,WPRO,2019,True,measured
NZL,New Zealand,WPRO,2019,True,measured
ZAF,South Africa,AFRO,2019,True,measured
SWE,Sweden,EURO,2019,True,measured
THA,Thailand,SEARO,2019,False,measured
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2019,True,measured
USA,United States of America,AMRO,2019,True,measured
AUS,Australia,WPRO,2020,True,measured
BRA,Brazil,AMRO,2020,True,measured
CHN,China,WPRO,2020,True,measured
JPN,Japan,WPRO,2020,True,measured
NZL,New Zealand,WPRO,2020,True,measured
ZAF,South Africa,AFRO,2020,True,measured
SWE,Sweden,EURO,2020,True,measured
THA,Thailand,SEARO,2020,False,measured
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2020,True,measured
USA,United States of America,AMRO,2020,True,measured
AUS,Australia,WPRO,2021,True,measured
BRA,Brazil,AMRO,2021,True,measured
CHN,China,WPRO,2021,True,measured
JPN,Japan,WPRO,2021,True,measured
NZL,New Zealand,WPRO,2021,True,measured
ZAF,South Africa,AFRO,2021,True,measured
SWE,Sweden,EURO,2021,True,measured
THA,Thailand,SEARO,2021,False,measured
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2021,True,measured
USA,United States of America,AMRO,2021,True,measured
AUS,Australia,WPRO,2022,True,measured
BRA,Brazil,AMRO,2022,True,measured
CHN,China,WPRO,2022,True,measured
JPN,Japan,WPRO,2022,True,measured
NZL,New Zealand,WPRO,2022,True,measured
ZAF,South Africa,AFRO,2022,True,measured
SWE,Sweden,EURO,2022,True,measured
THA,Thailand,SEARO,2022,False,measured
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2022,True,measured
USA,United States of America,AMRO,2022,True,measured
AUS,Australia,WPRO,2023,True,measured
BRA,Brazil,AMRO,2023,True,measured
CHN,China,WPRO,2023,True,measured
JPN,Japan,WPRO,2023,True,measured
NZL,New Zealand,WPRO,2023,True,measured
ZAF,South Africa,AFRO,2023,True,measured
SWE,Sweden,EURO,2023,True,measured
THA,Thailand,SEARO,2023,False,measured
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2023,True,measured
USA,United States of America,AMRO,2023,True,measured
AUS,Australia,WPRO,2024,True,measured
BRA,Brazil,AMRO,2024,True,measured
CHN,China,WPRO,2024,True,measured
JPN,Japan,WPRO,2024,True,measured
NZL,New Zealand,WPRO,2024,True,measured
ZAF,South Africa,AFRO,2024,True,measured
SWE,Sweden,EURO,2024,True,measured
THA,Thailand,SEARO,2024,True,measured
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2024,True,measured
USA,United States of America,AMRO,2024,True,measured
AUS,Australia,WPRO,2025,True,measured
BRA,Brazil,AMRO,2025,True,measured
CHN,China,WPRO,2025,True,measured
JPN,Japan,WPRO,2025,True,measured
NZL,New Zealand,WPRO,2025,True,measured
ZAF,South Africa,AFRO,2025,True,measured
SWE,Sweden,EURO,2025,True,measured
THA,Thailand,SEARO,2025,True,measured
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2025,True,measured
USA,United States of America,AMRO,2025,True,measured
