iso3,country_name,year,coverage_category,coverage_raw,Drop,source,备注,很多中低收入国家孕期免疫项目主要监测 破伤风类疫苗（TT / Td / TTCV）或者没有全国性的孕期 Tdap 接种项目，百日咳疫苗主要是针对的儿童，文献研究Article多是这个国家的某一地区的某一时间段的抽样研究,coverage_percent,coverage_proportion,source_type
GBR,united kingdom of great britain and northern ireland,2024.0,Official coverage,58.56,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,58.56,0.5856,measured
GBR,united kingdom of great britain and northern ireland,2023.0,Official coverage,0,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,0.0,0.0,measured
GBR,united kingdom of great britain and northern ireland,2022.0,Official coverage,0,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,0.0,0.0,measured
JPN,Japan,,,,,,,,,,measured
NZL,New Zealand,2023.0,Article,"61.25 [36.94, 81.21]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851,95% UI,,61.25,0.6125,measured
NZL,New Zealand,2020.0,Article,"51.31 [41.34, 61.05]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851,95% UI,,51.31,0.5131,measured
NZL,New Zealand,2019.0,Article,"46.96 [38.61, 55.34]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851,95% UI,,46.96,0.4696,measured
NZL,New Zealand,2015.0,Article,"27.26 [21.89, 32.86]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851,95% UI,,27.26,0.2726,measured
NZL,New Zealand,2018.0,Article,43.6,,https://pubmed.ncbi.nlm.nih.gov/32868133/,"2013年至2018年间，共有323,622名孕妇的数据，25.7%接种了孕产妇百日咳疫苗,百日咳从10.2%(2013)升至43.6%(2018)",,43.6,0.436,measured
SWE,Sweden,2024.0,Article,60+,,https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2024/september/kikhostefallen-fortsatt-pa-en-mycket-hog-niva/,末尾,,60.0,0.6,measured
SWE,Sweden,2024.0,Article,60-70,,https://lakartidningen.se/nyheter/antalet-fall-av-kikhosta-i-sverige-ar-pa-vag-mot-rekordnivaer-under-2024/,末尾,,60.0,0.6,measured
THA,Thailand,2023.0,Administrative coverage,0,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine?CODE=THA&ANTIGEN=PERCV_PW&YEAR=,https://www.sciencedirect.com/science/article/pii/S2772707624002285 该文章提及2024年泰国百日咳疫苗接种覆盖率为8%,,0.0,0.0,measured
USA,United States of America,2022.0,Official coverage,44,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine?CODE=USA&ANTIGEN=PERCV_PW&YEAR=,,,44.0,0.44,measured
USA,United States of America,2021.0,Official coverage,53.5,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine?CODE=USA&ANTIGEN=PERCV_PW&YEAR=,,,53.5,0.535,measured
USA,United States of America,2023.0,Article,"57.00 [46.46, 67.15]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851,95% UI,,57.0,0.57,measured
USA,United States of America,2020.0,Article,"68.92 [64.50, 73.15]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851,95% UI,,68.92,0.6892,measured
USA,United States of America,2019.0,Article,"69.81 [66.33, 73.18]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851,95% UI,,69.81,0.6981,measured
USA,United States of America,2015.0,Article,"58.77 [55.90, 61.61]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851,95% UI,,58.77,0.5877,measured
USA,United States of America,2019.0,Article,54.9,,https://pmc.ncbi.nlm.nih.gov/articles/PMC10071344/#H1-1-POI220093,该文章引言提及截至2019年，54.9%的美国孕妇在孕期接种过Tdap疫苗,,54.9,0.5489999999999999,measured
ZAF,South Africa,,,,,,,,,,measured
