region,year,reported_incidence_per_million,source,source_type
European Region,2021,3.4,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
European Region,2020,23.7,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
European Region,2019,74.5,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
European Region,2018,66.1,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
European Region,2017,68.1,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
European Region,2016,81.1,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
European Region,2015,67.1,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
European Region,2014,76.2,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
European Region,2013,54.1,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
European Region,2012,77.2,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
European Region,2011,47.9,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
European Region,2010,37.4,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
European Region,2009,42.2,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
European Region,2008,36.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
European Region,2007,39.4,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
European Region,2006,38.5,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
European Region,2005,36.2,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
European Region,2004,61.6,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
European Region,2003,36.5,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
European Region,2002,34.8,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
European Region,2001,51.9,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
European Region,2000,76.7,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Region of the Americas,2024,47.1,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Region of the Americas,2023,6.9,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Region of the Americas,2022,3.2,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Region of the Americas,2021,6.6,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Region of the Americas,2020,20.1,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Region of the Americas,2019,11.5,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Region of the Americas,2018,23.5,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Region of the Americas,2017,29.4,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Region of the Americas,2016,28.8,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Region of the Americas,2015,32.9,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Region of the Americas,2014,48.4,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Region of the Americas,2013,58.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Region of the Americas,2012,76.3,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Region of the Americas,2011,31.7,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Region of the Americas,2010,33.9,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Region of the Americas,2009,8.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Region of the Americas,2008,27.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Region of the Americas,2007,22.7,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Region of the Americas,2006,27.9,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Region of the Americas,2005,40.1,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Region of the Americas,2004,38.5,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Region of the Americas,2003,20.7,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Region of the Americas,2002,19.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Region of the Americas,2001,18.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Region of the Americas,2000,22.8,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South-East Asia Region,2024,5.3,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South-East Asia Region,2023,5.8,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South-East Asia Region,2022,4.7,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South-East Asia Region,2021,0.4,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South-East Asia Region,2020,6.3,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South-East Asia Region,2019,6.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South-East Asia Region,2018,8.7,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South-East Asia Region,2017,17.1,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South-East Asia Region,2016,21.9,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South-East Asia Region,2015,17.7,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South-East Asia Region,2014,28.5,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South-East Asia Region,2013,19.7,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South-East Asia Region,2012,28.1,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South-East Asia Region,2011,23.1,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South-East Asia Region,2010,27.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South-East Asia Region,2009,35.2,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South-East Asia Region,2008,30.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South-East Asia Region,2007,32.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South-East Asia Region,2006,20.2,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South-East Asia Region,2005,25.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South-East Asia Region,2004,23.8,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South-East Asia Region,2003,26.6,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South-East Asia Region,2002,25.5,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South-East Asia Region,2001,26.7,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
South-East Asia Region,2000,24.3,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Western Pacific Region,2024,307.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Western Pacific Region,2023,26.4,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Western Pacific Region,2022,21.7,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Western Pacific Region,2021,5.8,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Western Pacific Region,2020,6.1,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Western Pacific Region,2019,33.2,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Western Pacific Region,2018,27.9,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Western Pacific Region,2017,14.6,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Western Pacific Region,2016,16.2,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Western Pacific Region,2015,18.5,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Western Pacific Region,2014,10.3,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Western Pacific Region,2013,12.3,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Western Pacific Region,2012,23.6,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Western Pacific Region,2011,30.5,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Western Pacific Region,2010,26.3,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Western Pacific Region,2009,22.7,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Western Pacific Region,2008,14.3,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Western Pacific Region,2007,21.8,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Western Pacific Region,2006,5.3,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Western Pacific Region,2005,13.4,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Western Pacific Region,2004,12.2,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Western Pacific Region,2003,6.6,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Western Pacific Region,2002,18.1,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Western Pacific Region,2001,19.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Western Pacific Region,2000,15.1,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
