country,strategy,strategy_label,infant_case_reduction,overall_case_reduction,infant_minus_overall_gap_pp,median_gap_pp,q25_gap_pp,q75_gap_pp,min_gap_pp,max_gap_pp
Japan,maternal_immunization,Infant-exposure package,0.3513823122371741,0.19341905731435904,15.796325492281504,13.426041288531593,12.81674650261662,13.896746856790749,9.84212254027479,16.349953516742566
New_Zealand,adolescent_booster,Adolescent booster scale-up,-0.07935606327249922,-0.07229674691618393,-0.7059316356315293,-1.3025608129506256,-3.041703024958455,-0.07496939875245597,-10.607524818083414,0.0649185082570942
New_Zealand,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.10211092773731523,0.0136433491796708,8.846757855764443,9.062983922556157,8.880577793117231,11.235685363927185,7.89144790862365,11.839355128924446
New_Zealand,targeted_pep_high_risk,Targeted high-risk PEP,0.03603174894718908,0.0243033091135747,1.172843983361438,0.8499537453941441,0.6918320232233128,1.1034497826900247,-0.3074615747908238,1.267516910143574
New_Zealand,timeliness_only,Routine schedule timeliness,0.29934181879833,0.11114060621250976,18.820121258582024,17.87647659550608,15.45205949644091,19.949808622211663,11.711491982305034,26.105496884673364
New_Zealand,cocooning_adjunct,Close-contact adult adjuncts,0.04982595889353314,0.00699115826399887,4.283480062953427,6.134251740409785,4.614940313335892,6.77109077280843,3.644774368441106,7.385638348262768
New_Zealand,maternal_immunization,Infant-exposure package,0.1449284797067738,0.01853191626026473,12.639656344650907,13.426041288531593,12.81674650261662,13.896746856790749,9.84212254027479,16.349953516742566
South_Africa,adolescent_booster,Adolescent booster scale-up,0.014376498498426926,0.04464504408040415,-3.0268545581977224,-1.3025608129506256,-3.041703024958455,-0.07496939875245597,-10.607524818083414,0.0649185082570942
South_Africa,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.12497899565676573,0.01601772311312033,10.89612725436454,9.062983922556157,8.880577793117231,11.235685363927185,7.89144790862365,11.839355128924446
South_Africa,targeted_pep_high_risk,Targeted high-risk PEP,0.06276146821523754,0.05016764322937928,1.259382498585826,0.8499537453941441,0.6918320232233128,1.1034497826900247,-0.3074615747908238,1.267516910143574
South_Africa,timeliness_only,Routine schedule timeliness,0.2735094302370664,0.15639451041401609,11.711491982305034,17.87647659550608,15.45205949644091,19.949808622211663,11.711491982305034,26.105496884673364
South_Africa,cocooning_adjunct,Close-contact adult adjuncts,0.15504458276375666,0.08314746652372673,7.189711624002992,6.134251740409785,4.614940313335892,6.77109077280843,3.644774368441106,7.385638348262768
South_Africa,maternal_immunization,Infant-exposure package,0.26094071325765933,0.09744117809023368,16.349953516742566,13.426041288531593,12.81674650261662,13.896746856790749,9.84212254027479,16.349953516742566
Sweden,adolescent_booster,Adolescent booster scale-up,3.328768981247787e-4,6.731831350270667e-5,0.026555858462207205,-1.3025608129506256,-3.041703024958455,-0.07496939875245597,-10.607524818083414,0.0649185082570942
Sweden,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.10249103378506474,0.01204825108093987,9.044278270412487,9.062983922556157,8.880577793117231,11.235685363927185,7.89144790862365,11.839355128924446
Sweden,targeted_pep_high_risk,Targeted high-risk PEP,0.0534980973004181,0.04665644414692993,0.684165315348817,0.8499537453941441,0.6918320232233128,1.1034497826900247,-0.3074615747908238,1.267516910143574
Sweden,timeliness_only,Routine schedule timeliness,0.12423387313046985,-0.02640928627338512,15.064315940385498,17.87647659550608,15.45205949644091,19.949808622211663,11.711491982305034,26.105496884673364
Sweden,cocooning_adjunct,Close-contact adult adjuncts,0.13206386438578266,0.0759706537409498,5.609321064483286,6.134251740409785,4.614940313335892,6.77109077280843,3.644774368441106,7.385638348262768
Sweden,maternal_immunization,Infant-exposure package,0.2205731073102829,0.08612597844818348,13.444712886209942,13.426041288531593,12.81674650261662,13.896746856790749,9.84212254027479,16.349953516742566
Thailand,adolescent_booster,Adolescent booster scale-up,0.07223459978538305,0.10270112492417004,-3.046652513878699,-1.3025608129506256,-3.041703024958455,-0.07496939875245597,-10.607524818083414,0.0649185082570942
Thailand,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.13066326699337527,0.01717455298889458,11.348871400448068,9.062983922556157,8.880577793117231,11.235685363927185,7.89144790862365,11.839355128924446
Thailand,targeted_pep_high_risk,Targeted high-risk PEP,0.09581238139110115,0.08693980862417017,0.8872572766930986,0.8499537453941441,0.6918320232233128,1.1034497826900247,-0.3074615747908238,1.267516910143574
Thailand,timeliness_only,Routine schedule timeliness,0.22271440902818418,0.08743989474176461,13.527451428641957,17.87647659550608,15.45205949644091,19.949808622211663,11.711491982305034,26.105496884673364
Thailand,cocooning_adjunct,Close-contact adult adjuncts,0.36121802586724283,0.29893333190771776,6.228469395952507,6.134251740409785,4.614940313335892,6.77109077280843,3.644774368441106,7.385638348262768
Thailand,maternal_immunization,Infant-exposure package,0.44684958490268756,0.3133694151375499,13.348016976513765,13.426041288531593,12.81674650261662,13.896746856790749,9.84212254027479,16.349953516742566
United_Kingdom,adolescent_booster,Adolescent booster scale-up,-0.021950199036109286,-0.01855971379904053,-0.33904852370687555,-1.3025608129506256,-3.041703024958455,-0.07496939875245597,-10.607524818083414,0.0649185082570942
United_Kingdom,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.10517518970973794,0.01535481365798197,8.982037605175597,9.062983922556157,8.880577793117231,11.235685363927185,7.89144790862365,11.839355128924446
United_Kingdom,targeted_pep_high_risk,Targeted high-risk PEP,0.1012641633786977,0.10433877912660594,-0.3074615747908238,0.8499537453941441,0.6918320232233128,1.1034497826900247,-0.3074615747908238,1.267516910143574
United_Kingdom,timeliness_only,Routine schedule timeliness,0.35247110738749243,0.14920739661994364,20.326371076754878,17.87647659550608,15.45205949644091,19.949808622211663,11.711491982305034,26.105496884673364
United_Kingdom,cocooning_adjunct,Close-contact adult adjuncts,0.14490879168709414,0.08310582144930201,6.180297023779213,6.134251740409785,4.614940313335892,6.77109077280843,3.644774368441106,7.385638348262768
United_Kingdom,maternal_immunization,Infant-exposure package,0.2358584968836145,0.0970540648122431,13.880443207137139,13.426041288531593,12.81674650261662,13.896746856790749,9.84212254027479,16.349953516742566
United_States,adolescent_booster,Adolescent booster scale-up,5.849831693183205e-5,-5.9068676563911e-4,0.0649185082570942,-1.3025608129506256,-3.041703024958455,-0.07496939875245597,-10.607524818083414,0.0649185082570942
United_States,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.1029127283889606,0.01209583264196234,9.081689574699825,9.062983922556157,8.880577793117231,11.235685363927185,7.89144790862365,11.839355128924446
United_States,targeted_pep_high_risk,Targeted high-risk PEP,0.0644665741172078,0.0563400719762559,0.8126502140951897,0.8499537453941441,0.6918320232233128,1.1034497826900247,-0.3074615747908238,1.267516910143574
United_States,timeliness_only,Routine schedule timeliness,0.2680791914067048,0.08628066665479173,18.179852475191304,17.87647659550608,15.45205949644091,19.949808622211663,11.711491982305034,26.105496884673364
United_States,cocooning_adjunct,Close-contact adult adjuncts,0.13617639252074187,0.0752943279503383,6.088206457040357,6.134251740409785,4.614940313335892,6.77109077280843,3.644774368441106,7.385638348262768
United_States,maternal_immunization,Infant-exposure package,0.22497631698458165,0.0859545029178288,13.902181406675284,13.426041288531593,12.81674650261662,13.896746856790749,9.84212254027479,16.349953516742566
