country,optimization_constraint,strategy,strategy_label,figure2a_row_order,primary_case_reduction,non_dominated_lancet_outcome,preferred_in_constraint
Brazil,program_only,pregnancy_tdap_scaleup,"Pregnancy
Tdap",5,0.01143185110900746,FALSE,FALSE
Brazil,program_only,targeted_pep_high_risk,"Targeted
PEP",5,0.07037178877691785,TRUE,FALSE
Brazil,program_only,timeliness_only,Timeliness,5,0.1235466771489182,TRUE,FALSE
Brazil,program_only,cocooning_adjunct,"Adult/
contact",5,0.15783119078620278,TRUE,FALSE
Brazil,program_only,maternal_immunization,"Infant
exposure",5,0.16775941307521525,TRUE,TRUE
China,program_only,current,Current,9,0,TRUE,FALSE
China,program_only,adolescent_booster,Adolescent,9,0.34717629662115157,TRUE,FALSE
China,program_only,higher_child_coverage,Coverage,9,-0.01365178362162522,FALSE,FALSE
China,program_only,pregnancy_tdap_scaleup,"Pregnancy
Tdap",9,0.02377524784118379,FALSE,FALSE
China,program_only,targeted_pep_high_risk,"Targeted
PEP",9,0.13705406251593089,FALSE,FALSE
China,program_only,timeliness_only,Timeliness,9,0.17631400572469025,FALSE,FALSE
China,program_only,cocooning_adjunct,"Adult/
contact",9,0.424783724596264,TRUE,FALSE
China,program_only,maternal_immunization,"Infant
exposure",9,0.4389743999913137,TRUE,TRUE
Japan,program_only,current,Current,7,0,TRUE,FALSE
Japan,program_only,adolescent_booster,Adolescent,7,0.06747800919741997,TRUE,FALSE
Japan,program_only,higher_child_coverage,Coverage,7,-0.00737341046116335,FALSE,FALSE
Japan,program_only,pregnancy_tdap_scaleup,"Pregnancy
Tdap",7,0.0156596287087184,FALSE,FALSE
Japan,program_only,targeted_pep_high_risk,"Targeted
PEP",7,0.04327805781613247,TRUE,FALSE
Japan,program_only,timeliness_only,Timeliness,7,0.09511020922498326,TRUE,FALSE
Japan,program_only,cocooning_adjunct,"Adult/
contact",7,0.1820137320170805,TRUE,FALSE
Japan,program_only,maternal_immunization,"Infant
exposure",7,0.19341905731435904,TRUE,TRUE
New_Zealand,program_only,current,Current,3,0,TRUE,FALSE
New_Zealand,program_only,adolescent_booster,Adolescent,3,-0.07229674691618393,FALSE,FALSE
New_Zealand,program_only,higher_child_coverage,Coverage,3,-0.09695735845599396,FALSE,FALSE
New_Zealand,program_only,pregnancy_tdap_scaleup,"Pregnancy
Tdap",3,0.0136433491796708,FALSE,FALSE
New_Zealand,program_only,targeted_pep_high_risk,"Targeted
PEP",3,0.0243033091135747,TRUE,FALSE
New_Zealand,program_only,timeliness_only,Timeliness,3,0.10351854872877651,TRUE,TRUE
New_Zealand,program_only,cocooning_adjunct,"Adult/
contact",3,0.00699115826399887,FALSE,FALSE
New_Zealand,program_only,maternal_immunization,"Infant
exposure",3,0.01853191626026473,FALSE,FALSE
South_Africa,program_only,current,Current,6,0,TRUE,FALSE
South_Africa,program_only,adolescent_booster,Adolescent,6,0.04464504408040415,FALSE,FALSE
South_Africa,program_only,higher_child_coverage,Coverage,6,0.04626872481857425,FALSE,FALSE
South_Africa,program_only,pregnancy_tdap_scaleup,"Pregnancy
Tdap",6,0.01601772311312033,FALSE,FALSE
South_Africa,program_only,targeted_pep_high_risk,"Targeted
PEP",6,0.05016764322937928,FALSE,FALSE
South_Africa,program_only,timeliness_only,Timeliness,6,0.16121466574286814,TRUE,TRUE
South_Africa,program_only,cocooning_adjunct,"Adult/
contact",6,0.08314746652372673,TRUE,FALSE
South_Africa,program_only,maternal_immunization,"Infant
exposure",6,0.09744117809023368,TRUE,FALSE
Sweden,program_only,current,Current,4,0,TRUE,FALSE
Sweden,program_only,adolescent_booster,Adolescent,4,6.731831350270667e-5,FALSE,FALSE
Sweden,program_only,higher_child_coverage,Coverage,4,-0.00563943472956629,FALSE,FALSE
Sweden,program_only,pregnancy_tdap_scaleup,"Pregnancy
Tdap",4,0.01204825108093987,FALSE,FALSE
Sweden,program_only,targeted_pep_high_risk,"Targeted
PEP",4,0.04665644414692993,FALSE,FALSE
Sweden,program_only,timeliness_only,Timeliness,4,0.13801268978111714,TRUE,TRUE
Sweden,program_only,cocooning_adjunct,"Adult/
contact",4,0.0759706537409498,TRUE,FALSE
Sweden,program_only,maternal_immunization,"Infant
exposure",4,0.08612597844818348,TRUE,FALSE
Thailand,program_only,current,Current,8,0,TRUE,FALSE
Thailand,program_only,adolescent_booster,Adolescent,8,0.10270112492417004,TRUE,FALSE
Thailand,program_only,higher_child_coverage,Coverage,8,-0.01727184120088631,FALSE,FALSE
Thailand,program_only,pregnancy_tdap_scaleup,"Pregnancy
Tdap",8,0.01717455298889458,FALSE,FALSE
Thailand,program_only,targeted_pep_high_risk,"Targeted
PEP",8,0.08693980862417017,TRUE,FALSE
Thailand,program_only,timeliness_only,Timeliness,8,0.11826079182443894,TRUE,FALSE
Thailand,program_only,cocooning_adjunct,"Adult/
contact",8,0.29893333190771776,TRUE,FALSE
Thailand,program_only,maternal_immunization,"Infant
exposure",8,0.3133694151375499,TRUE,TRUE
United_Kingdom,program_only,current,Current,2,0,TRUE,FALSE
United_Kingdom,program_only,adolescent_booster,Adolescent,2,-0.01855971379904053,FALSE,FALSE
United_Kingdom,program_only,higher_child_coverage,Coverage,2,-0.00701194338800004,FALSE,FALSE
United_Kingdom,program_only,pregnancy_tdap_scaleup,"Pregnancy
Tdap",2,0.01535481365798197,FALSE,FALSE
United_Kingdom,program_only,targeted_pep_high_risk,"Targeted
PEP",2,0.10433877912660594,TRUE,FALSE
United_Kingdom,program_only,timeliness_only,Timeliness,2,0.1486502832626595,TRUE,TRUE
United_Kingdom,program_only,cocooning_adjunct,"Adult/
contact",2,0.08310582144930201,FALSE,FALSE
United_Kingdom,program_only,maternal_immunization,"Infant
exposure",2,0.0970540648122431,FALSE,FALSE
United_States,program_only,current,Current,10,0,TRUE,FALSE
United_States,program_only,adolescent_booster,Adolescent,10,-0.00668025794317128,FALSE,FALSE
United_States,program_only,higher_child_coverage,Coverage,10,-0.01565872018505598,FALSE,FALSE
United_States,program_only,pregnancy_tdap_scaleup,"Pregnancy
Tdap",10,0.01013008646420143,FALSE,FALSE
United_States,program_only,targeted_pep_high_risk,"Targeted
PEP",10,0.49254564545052215,TRUE,TRUE
United_States,program_only,timeliness_only,Timeliness,10,0.14861463932172336,FALSE,FALSE
United_States,program_only,cocooning_adjunct,"Adult/
contact",10,0.18993309371523204,FALSE,FALSE
United_States,program_only,maternal_immunization,"Infant
exposure",10,0.1977305987818679,FALSE,FALSE
Australia,program_plus_resistance,resistance_guided_treatment,"Resistance
mgmt",1,0.17120027297267004,TRUE,TRUE
Brazil,program_plus_resistance,resistance_guided_treatment,"Resistance
mgmt",5,0.5654787817337104,TRUE,TRUE
China,program_plus_resistance,resistance_guided_treatment,"Resistance
mgmt",9,0.7476648773457986,TRUE,TRUE
Japan,program_plus_resistance,resistance_guided_treatment,"Resistance
mgmt",7,0.43920357275319777,TRUE,TRUE
New_Zealand,program_plus_resistance,resistance_guided_treatment,"Resistance
mgmt",3,0.10906227352407384,TRUE,TRUE
South_Africa,program_plus_resistance,resistance_guided_treatment,"Resistance
mgmt",6,0.5798676603842057,TRUE,TRUE
Sweden,program_plus_resistance,resistance_guided_treatment,"Resistance
mgmt",4,0.4842035930228197,TRUE,TRUE
Thailand,program_plus_resistance,resistance_guided_treatment,"Resistance
mgmt",8,0.5811027362847028,TRUE,TRUE
United_Kingdom,program_plus_resistance,resistance_guided_treatment,"Resistance
mgmt",2,0.1588220448791774,TRUE,TRUE
United_States,program_plus_resistance,resistance_guided_treatment,"Resistance
mgmt",10,0.03646065217661376,FALSE,FALSE
