country,strategy,current_infant_cases_per_100k,scenario_infant_cases_per_100k,relative_reduction_infant_cases,relative_reduction_total_infections,coverage_floor_applied,timeliness_applied,routine_age_pattern,routine_first_shot_months,routine_dose_count,timeliness_definition,timeliness_grace_months,timeliness_recent_window_months,timeliness_infant_3_11m_dose1_recent_target,timeliness_infant_3_11m_dose2_recent_target,timeliness_infant_3_11m_dose3plus_recent_target,timeliness_infant_3_11m_dose3plus_waned_target,implementation_note
Japan,current,630.6996791135485,630.6996791135485,0.0,0.0,False,False,M2;M3;M4;Y1,3.0,4,,,,,,,,Current practice with country-profile routine coverage and default age-bin vaccine-origin timing.
Japan,coverage_floor_only,630.6996791135485,632.7364708710719,-0.0032294162358976752,-0.0014828851600563464,True,False,M2;M3;M4;Y1,3.0,4,,,,,,,,Nominal coverage floor without timeliness improvement used in the main intervention comparison.
Japan,timeliness_only,630.6996791135485,462.43614043430586,0.26678869467681987,-0.00694270929584917,False,True,M2;M3;M4;Y1,3.0,4,schedule_relative,1.0,48.0,0.11041666666666666,0.1125,0.7770833333333333,,Current coverage with faster routine-vaccination relaxation and schedule-relative age-appropriate vaccine-origin targets.
Japan,coverage_floor_plus_timeliness,630.6996791135485,462.0612134501544,0.26738314757245085,-0.006160142927945644,True,True,M2;M3;M4;Y1,3.0,4,schedule_relative,1.0,48.0,0.11041666666666666,0.1125,0.7770833333333333,,Coverage floor plus faster routine-vaccination relaxation and schedule-relative age-appropriate vaccine-origin targets.
New_Zealand,current,2167.8063407018135,2167.8063407018135,0.0,0.0,False,False,W6;M3;M5;Y4;Y11-Y13,1.37931034482759,5,,,,,,,,Current practice with country-profile routine coverage and default age-bin vaccine-origin timing.
New_Zealand,coverage_floor_only,2167.8063407018135,2388.676825711365,-0.10188662821381178,-0.08266921104638492,True,False,W6;M3;M5;Y4;Y11-Y13,1.37931034482759,5,,,,,,,,Nominal coverage floor without timeliness improvement used in the main intervention comparison.
New_Zealand,timeliness_only,2167.8063407018135,1521.494784274432,0.29814081410773996,0.00031098935711249,False,True,W6;M3;M5;Y4;Y11-Y13,1.37931034482759,5,schedule_relative,1.0,48.0,0.11041666666666666,0.22291666666666668,0.6666666666666666,,Current coverage with faster routine-vaccination relaxation and schedule-relative age-appropriate vaccine-origin targets.
New_Zealand,coverage_floor_plus_timeliness,2167.8063407018135,1496.207362607513,0.3098057971036152,0.014106733520568349,True,True,W6;M3;M5;Y4;Y11-Y13,1.37931034482759,5,schedule_relative,1.0,48.0,0.11041666666666666,0.22291666666666668,0.6666666666666666,,Coverage floor plus faster routine-vaccination relaxation and schedule-relative age-appropriate vaccine-origin targets.
Sweden,current,810.3665757339737,810.3665757339737,0.0,0.0,False,False,M3;M5;M12;Y5;Y14-Y16,3.0,5,,,,,,,,Current practice with country-profile routine coverage and default age-bin vaccine-origin timing.
Sweden,coverage_floor_only,810.3665757339737,812.2012732487271,-0.002264033531365728,-0.0005621984410906222,True,False,M3;M5;M12;Y5;Y14-Y16,3.0,5,,,,,,,,Nominal coverage floor without timeliness improvement used in the main intervention comparison.
Sweden,timeliness_only,810.3665757339737,709.7678906189401,0.12413972356250458,0.006222667047841357,False,True,M3;M5;M12;Y5;Y14-Y16,3.0,5,schedule_relative,1.0,48.0,0.2505854800936768,0.7494145199063232,,,Current coverage with faster routine-vaccination relaxation and schedule-relative age-appropriate vaccine-origin targets.
Sweden,coverage_floor_plus_timeliness,810.3665757339737,709.832217023342,0.12406034282742717,0.006139060762212045,True,True,M3;M5;M12;Y5;Y14-Y16,3.0,5,schedule_relative,1.0,48.0,0.2505854800936768,0.7494145199063232,,,Coverage floor plus faster routine-vaccination relaxation and schedule-relative age-appropriate vaccine-origin targets.
United_States,current,651.1199588355541,651.1199588355541,0.0,0.0,False,False,M2;M4;M6;M15;Y4;Y11-Y12,2.0,6,,,,,,,,Current practice with country-profile routine coverage and default age-bin vaccine-origin timing.
United_States,coverage_floor_only,651.1199588355541,652.886873819247,-0.0027136552031887806,-0.001185852825495326,True,False,M2;M4;M6;M15;Y4;Y11-Y12,2.0,6,,,,,,,,Nominal coverage floor without timeliness improvement used in the main intervention comparison.
United_States,timeliness_only,651.1199588355541,476.49485015924785,0.268191909131414,0.03539421808663423,False,True,M2;M4;M6;M15;Y4;Y11-Y12,2.0,6,schedule_relative,1.0,48.0,0.22291666666666668,0.22083333333333333,0.55625,,Current coverage with faster routine-vaccination relaxation and schedule-relative age-appropriate vaccine-origin targets.
United_States,coverage_floor_plus_timeliness,651.1199588355541,476.9272174184811,0.26752788273947004,0.03479370983701047,True,True,M2;M4;M6;M15;Y4;Y11-Y12,2.0,6,schedule_relative,1.0,48.0,0.22291666666666668,0.22083333333333333,0.55625,,Coverage floor plus faster routine-vaccination relaxation and schedule-relative age-appropriate vaccine-origin targets.
Brazil,current,635.9679043275684,635.9679043275684,0.0,0.0,False,False,M2;M4;M6;M15;Y4,2.0,5,,,,,,,,Current practice with country-profile routine coverage and default age-bin vaccine-origin timing.
Brazil,coverage_floor_only,635.9679043275684,640.5192415425889,-0.0071565513727573915,-0.003811098703267124,True,False,M2;M4;M6;M15;Y4,2.0,5,,,,,,,,Nominal coverage floor without timeliness improvement used in the main intervention comparison.
Brazil,timeliness_only,635.9679043275684,474.216846481617,0.254338394817769,0.03875790886399688,False,True,M2;M4;M6;M15;Y4,2.0,5,schedule_relative,1.0,48.0,0.22291666666666668,0.22083333333333333,0.55625,,Current coverage with faster routine-vaccination relaxation and schedule-relative age-appropriate vaccine-origin targets.
Brazil,coverage_floor_plus_timeliness,635.9679043275684,474.3029860960066,0.2542029470436278,0.038679978687387484,True,True,M2;M4;M6;M15;Y4,2.0,5,schedule_relative,1.0,48.0,0.22291666666666668,0.22083333333333333,0.55625,,Coverage floor plus faster routine-vaccination relaxation and schedule-relative age-appropriate vaccine-origin targets.
Thailand,current,579.4585901031779,579.4585901031779,0.0,0.0,False,False,M2;M4;M6;Y1.5;Y4,2.0,5,,,,,,,,Current practice with country-profile routine coverage and default age-bin vaccine-origin timing.
Thailand,coverage_floor_only,579.4585901031779,578.7142821808266,0.0012844930666631171,-0.006213870720270354,True,False,M2;M4;M6;Y1.5;Y4,2.0,5,,,,,,,,Nominal coverage floor without timeliness improvement used in the main intervention comparison.
Thailand,timeliness_only,579.4585901031779,450.44429069739823,0.222646280299982,0.041945010167588226,False,True,M2;M4;M6;Y1.5;Y4,2.0,5,schedule_relative,1.0,48.0,0.22291666666666668,0.22083333333333333,0.55625,,Current coverage with faster routine-vaccination relaxation and schedule-relative age-appropriate vaccine-origin targets.
Thailand,coverage_floor_plus_timeliness,579.4585901031779,440.68642387440417,0.23948591004373043,0.044573865297290016,True,True,M2;M4;M6;Y1.5;Y4,2.0,5,schedule_relative,1.0,48.0,0.22291666666666668,0.22083333333333333,0.55625,,Coverage floor plus faster routine-vaccination relaxation and schedule-relative age-appropriate vaccine-origin targets.
South_Africa,current,604.3655609873088,604.3655609873088,0.0,0.0,False,False,W6;W10;W14;M18;Y6;Y12,1.37931034482759,6,,,,,,,,Current practice with country-profile routine coverage and default age-bin vaccine-origin timing.
South_Africa,coverage_floor_only,604.3655609873088,548.5182472311767,0.09240651100561637,0.014811757049709717,True,False,W6;W10;W14;M18;Y6;Y12,1.37931034482759,6,,,,,,,,Nominal coverage floor without timeliness improvement used in the main intervention comparison.
South_Africa,timeliness_only,604.3655609873088,439.26146311131714,0.27318581181643653,0.06032719693885635,False,True,W6;W10;W14;M18;Y6;Y12,1.37931034482759,6,schedule_relative,1.0,48.0,0.03333333333333333,0.10208333333333333,0.8645833333333334,,Current coverage with faster routine-vaccination relaxation and schedule-relative age-appropriate vaccine-origin targets.
South_Africa,coverage_floor_plus_timeliness,604.3655609873088,370.4971934815129,0.38696507790531876,0.06600569779140042,True,True,W6;W10;W14;M18;Y6;Y12,1.37931034482759,6,schedule_relative,1.0,48.0,0.03333333333333333,0.10208333333333333,0.8645833333333334,,Coverage floor plus faster routine-vaccination relaxation and schedule-relative age-appropriate vaccine-origin targets.
