country,test_year,evidence_cutoff_date,training_intervals,holdout_intervals,training_years,future_evidence_used,outcome_derived_profile_terms_disabled,historical_dtp_coverage_year,historical_maternal_coverage_excluded,npi_reduction_column,diagnostic_timeline_enabled,mechanistic_offset_cache_key,mechanistic_offset_cache_hit
China,2024,2024-01-01,108,12,9,False,True,2022,True,contact_reduction_mean,False,a26527051959c9a6285f5cded7c2ab96dd7f5e2f2e23bc4306f2a1be8451177b,False
United_Kingdom,2024,2024-01-01,470,52,9,False,True,2022,True,contact_reduction_mean,False,736ec5b5228af5df170617fa25c1521cc46a54670171b3b02d7ea05f61a65104,False
Japan,2024,2024-01-01,470,52,9,False,True,2022,True,contact_reduction_mean,False,12bcb769699b1bcdd494f9c18c50744c0bfbf781d05e6c807302937046efa257,False
New_Zealand,2024,2024-01-01,108,12,9,False,True,2022,True,contact_reduction_mean,False,0fcc62945ca07c9a09fc5c033da0bcdcf2aab04256c02191a0cbe10dfa9d0b9f,False
Sweden,2024,2024-01-01,108,12,9,False,True,2022,True,contact_reduction_mean,False,4b77eb07eb4441802c759c67ca180b07649b0d0b5d961a65c70a16ad52b068c7,False
United_States,2024,2024-01-01,467,51,9,False,True,2022,True,contact_reduction_mean,False,ea35b300482cf6ac9d16848b2e7a8992c4beda99b92217c5477c408c977f71f9,False
Brazil,2024,2024-01-01,108,12,9,False,True,2022,True,contact_reduction_mean,False,5c4a3e83345f4ab82a96d15271d9c5399264dd09efe371cfe945664edf4ff585,False
Thailand,2024,2024-01-01,192,12,16,False,True,2022,True,contact_reduction_mean,False,47fa58d3bc070bc78fba33c6da9f83ed96e6270fad3bfb565d7b631e4900b4db,False
Australia,2025,2025-01-01,120,12,10,False,True,2023,True,contact_reduction_mean,False,0737aac04959ed0746b87d695884d47338e90fd2f33d95560d30c7007d8d8ecf,False
China,2025,2025-01-01,120,12,10,False,True,2023,True,contact_reduction_mean,False,03ca153dadcf9b65e2c6c5fa8eaa116bd16b52c7d9d1d64b9abd0879aec03e04,False
United_Kingdom,2025,2025-01-01,522,12,10,False,True,2023,True,contact_reduction_mean,False,e3ffed1ba75419928859e623dbd2714ac3a196b85c6a426dfa99065e157c488b,False
Japan,2025,2025-01-01,522,50,10,False,True,2023,True,contact_reduction_mean,False,ad5cbc62abce10a81253eeb9f25a02445f2fa3b249815415de0f0f366be49fe6,False
New_Zealand,2025,2025-01-01,120,12,10,False,True,2023,True,contact_reduction_mean,False,77045eb839aaff9ecea05efb2ea5752d5b82b5bc42d5244ce4c0143d05c4d847,False
Sweden,2025,2025-01-01,120,12,10,False,True,2023,True,contact_reduction_mean,False,adcb792a64aa82a90eea4b0ef76ac3cee09cf2d0f26fa3ae141fc6c37f8d8b4a,False
United_States,2025,2025-01-01,519,51,10,False,True,2023,True,contact_reduction_mean,False,db0a76c9af2d25df90664ec78fab6bd8cf124dc4ca7490269dfeba9de46c2623,False
Brazil,2025,2025-01-01,120,12,10,False,True,2023,True,contact_reduction_mean,False,3d377ef9a80a154a0ed17a32283d5cafd36b94b8a80fe2780733617acd8b57c9,False
Thailand,2025,2025-01-01,204,12,17,False,True,2023,True,contact_reduction_mean,False,f81d35cfa3719fbc05a5d0c19c7dca030eebddf57dac0b62fa870d6d2b8dc131,False
Australia,2026,2026-01-01,132,5,11,False,True,2024,True,contact_reduction_mean,False,0c3cb4a6bfd5d637331e84acef7c568fd81870bad9a461ef110a4a2b67858902,False
China,2026,2026-01-01,132,3,11,False,True,2024,True,contact_reduction_mean,False,416b0415d76fa53949473e211af1f7ce7c3697e6e52edf86eb145a186b98a7f0,False
Japan,2026,2026-01-01,573,16,11,False,True,2024,True,contact_reduction_mean,False,eb645b7deaf1399335750b418f5f42954fec21b0281e7bc3f8977b009b01c14c,False
New_Zealand,2026,2026-01-01,132,4,11,False,True,2024,True,contact_reduction_mean,False,368b8f5f82974b176290d121e365ec8b0fa7f6d6da430e3dc24c2fa94ff4987d,False
Sweden,2026,2026-01-01,132,4,11,False,True,2024,True,contact_reduction_mean,False,24745825d458ca1c6cfbde7d5778c9626c0e307029956495e972d6425b0df68e,False
United_States,2026,2026-01-01,571,18,11,False,True,2024,True,contact_reduction_mean,False,c4af816d3ae6fd8ce28cee02ad51416e132bdbda6ab39abf23656e0071934a97,False
Brazil,2026,2026-01-01,132,4,11,False,True,2024,True,contact_reduction_mean,False,6dca322f9e0f039a3a8109bf394b27e2d7b01d9a672fb7f84fbb0898fd2138b3,False
