country,country_code,country_label_text,scenario,scenario_label,outcome_type,primary_cases_per_100k,min_primary_cases_per_100k,max_primary_cases_per_100k,median,q25,q75,q025,q975
United_States,USA,United States,transmission_blocking,Transmission-blocking mechanism,Vaccine mechanism,619.6616319733166,256.4178195052313,1199.3527550159783,711.4846007405841,380.5121095339022,874.0082651717133,272.0498992842163,1166.8771752708237
United_States,USA,United States,next_generation,High transmission-blocking mechanism,Vaccine mechanism,364.5499357050377,202.3915908283211,698.5948058214527,586.8481783359242,223.45345187543975,633.5080423530212,202.8143098084975,695.3152924421474
Brazil,BRA,Brazil,symptom_protective,Current aP-like mechanism scenario,Vaccine mechanism,465.8001911368474,175.05911292217542,1082.0060289049727,862.5317408957053,500.45337136408864,1047.806660663328,233.2073285651098,1078.315908809848
Brazil,BRA,Brazil,infection_blocking,Infection-blocking mechanism,Vaccine mechanism,326.0270907941991,250.6827917421107,1266.681971721097,696.5077033696075,350.3838898453941,940.9066084613332,265.75165155252836,1221.4393796788497
Brazil,BRA,Brazil,transmission_blocking,Transmission-blocking mechanism,Vaccine mechanism,334.57821840015606,256.4178195052313,1199.3527550159783,711.4846007405841,380.5121095339022,874.0082651717133,272.0498992842163,1166.8771752708237
Brazil,BRA,Brazil,next_generation,High transmission-blocking mechanism,Vaccine mechanism,223.45345187543975,202.3915908283211,698.5948058214527,586.8481783359242,223.45345187543975,633.5080423530212,202.8143098084975,695.3152924421474
Thailand,THA,Thailand,symptom_protective,Current aP-like mechanism scenario,Vaccine mechanism,500.45337136408864,175.05911292217542,1082.0060289049727,862.5317408957053,500.45337136408864,1047.806660663328,233.2073285651098,1078.315908809848
Thailand,THA,Thailand,infection_blocking,Infection-blocking mechanism,Vaccine mechanism,250.6827917421107,250.6827917421107,1266.681971721097,696.5077033696075,350.3838898453941,940.9066084613332,265.75165155252836,1221.4393796788497
Thailand,THA,Thailand,transmission_blocking,Transmission-blocking mechanism,Vaccine mechanism,256.4178195052313,256.4178195052313,1199.3527550159783,711.4846007405841,380.5121095339022,874.0082651717133,272.0498992842163,1166.8771752708237
Thailand,THA,Thailand,next_generation,High transmission-blocking mechanism,Vaccine mechanism,202.3915908283211,202.3915908283211,698.5948058214527,586.8481783359242,223.45345187543975,633.5080423530212,202.8143098084975,695.3152924421474
Australia,AUS,Australia,combined_strategy,Combined future upper-bound scenario,Upper-bound scenario,640.2852503454919,22.853715019521943,640.2852503454919,285.94577486549616,110.5770291401882,527.7186417480065,24.81333773124802,622.72905529142
Brazil,BRA,Brazil,combined_strategy,Combined future upper-bound scenario,Upper-bound scenario,32.651828578152326,22.853715019521943,640.2852503454919,285.94577486549616,110.5770291401882,527.7186417480065,24.81333773124802,622.72905529142
China,CHN,China,combined_strategy,Combined future upper-bound scenario,Upper-bound scenario,484.31578663724014,22.853715019521943,640.2852503454919,285.94577486549616,110.5770291401882,527.7186417480065,24.81333773124802,622.72905529142
Japan,JPN,Japan,combined_strategy,Combined future upper-bound scenario,Upper-bound scenario,552.5042750751321,22.853715019521943,640.2852503454919,285.94577486549616,110.5770291401882,527.7186417480065,24.81333773124802,622.72905529142
New_Zealand,NZL,New Zealand,combined_strategy,Combined future upper-bound scenario,Upper-bound scenario,527.7186417480065,22.853715019521943,640.2852503454919,285.94577486549616,110.5770291401882,527.7186417480065,24.81333773124802,622.72905529142
Sweden,SWE,Sweden,combined_strategy,Combined future upper-bound scenario,Upper-bound scenario,110.5770291401882,22.853715019521943,640.2852503454919,285.94577486549616,110.5770291401882,527.7186417480065,24.81333773124802,622.72905529142
Thailand,THA,Thailand,combined_strategy,Combined future upper-bound scenario,Upper-bound scenario,22.853715019521943,22.853715019521943,640.2852503454919,285.94577486549616,110.5770291401882,527.7186417480065,24.81333773124802,622.72905529142
United_Kingdom,GBR,United Kingdom,combined_strategy,Combined future upper-bound scenario,Upper-bound scenario,285.94577486549616,22.853715019521943,640.2852503454919,285.94577486549616,110.5770291401882,527.7186417480065,24.81333773124802,622.72905529142
United_States,USA,United States,combined_strategy,Combined future upper-bound scenario,Upper-bound scenario,202.47383247163873,22.853715019521943,640.2852503454919,285.94577486549616,110.5770291401882,527.7186417480065,24.81333773124802,622.72905529142
