country,country_name,outcome,routine_timeliness_raw_burden,resistance_guided_raw_burden,guided_residual_index_vs_routine,guided_reduction_vs_routine,direction,profiles_guided_lower,profiles_routine_lower,median_residual_index,q25_residual_index,q75_residual_index,min_residual_index,max_residual_index,burden_unit,analysis_horizon,contrast_definition
Thailand,Thailand,Adolescent cases,395.6312794539706,287.29879809823416,0.7261781689626482,0.2738218310373518,Guided lower,6,3,0.9907012250991121,0.9095164357013468,1.0156007071497406,0.7261781689626482,1.0616796641875836,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Thailand,Thailand,All <18 cases,367.9158914417158,272.786250133047,0.7414364437048543,0.2585635562951457,Guided lower,5,4,0.9361460780080113,0.8306677499570216,1.0354619398967781,0.7414364437048543,1.0884919665758406,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Thailand,Thailand,Resistant infections,1200.7875526262055,716.3089432895885,0.5965326187159179,0.4034673812840821,Guided lower,9,0,0.7592816698413164,0.5965326187159179,0.775848689201897,0.38674592905001454,0.9194662039623274,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
United_Kingdom,United Kingdom,Infant cases,1377.6072854791205,1746.9809736121608,1.2681269851186765,-0.2681269851186765,Routine lower,3,6,1.0480221611112208,0.8705489621895237,1.1633085194665505,0.7822185950328941,1.2681269851186765,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
United_Kingdom,United Kingdom,Infant hospitalisations,432.9970998800076,512.7723230699497,1.184239624727393,-0.18423962472739297,Routine lower,3,6,1.0599317921131615,0.8752996796502515,1.087427043739791,0.7690677016653683,1.184239624727393,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
United_Kingdom,United Kingdom,Infant deaths,5.962051402334873,5.755616361469478,0.9653751658725133,0.03462483412748674,Guided lower,8,1,0.9173077000193677,0.7620223956235256,0.9653751658725133,0.6708014443536542,1.0239785237807526,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
United_Kingdom,United Kingdom,Children cases,789.8564316407418,804.9083221317405,1.0190564891137646,-0.019056489113764563,Routine lower,5,4,0.9281912964371359,0.8326520205628847,1.02239733664317,0.6267017583221234,1.076453866009516,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
United_Kingdom,United Kingdom,Adolescent cases,483.2077640338117,478.7145238056999,0.9907012250991121,0.00929877490088793,Guided lower,6,3,0.9907012250991121,0.9095164357013468,1.0156007071497406,0.7261781689626482,1.0616796641875836,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
United_Kingdom,United Kingdom,All <18 cases,679.1120982064097,703.1947306161802,1.0354619398967781,-0.03546193989677815,Routine lower,5,4,0.9361460780080113,0.8306677499570216,1.0354619398967781,0.7414364437048543,1.0884919665758406,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
United_Kingdom,United Kingdom,Resistant infections,1710.998542636799,1236.0441073455213,0.7224109644422425,0.2775890355577575,Guided lower,9,0,0.7592816698413164,0.5965326187159179,0.775848689201897,0.38674592905001454,0.9194662039623274,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
United_States,United States,Infant cases,1013.6910170634254,1034.3046782576685,1.0203352509268149,-0.020335250926814874,Routine lower,3,6,1.0480221611112208,0.8705489621895237,1.1633085194665505,0.7822185950328941,1.2681269851186765,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
United_States,United States,Infant hospitalisations,299.6526057357558,302.71048474637774,1.0102047469372533,-0.010204746937253262,Routine lower,3,6,1.0599317921131615,0.8752996796502515,1.087427043739791,0.7690677016653683,1.184239624727393,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
United_States,United States,Infant deaths,3.9615629533893113,3.4324543229820668,0.8664394238757291,0.13356057612427086,Guided lower,8,1,0.9173077000193677,0.7620223956235256,0.9653751658725133,0.6708014443536542,1.0239785237807526,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
United_States,United States,Children cases,577.0209880255768,535.5858589468972,0.9281912964371359,0.07180870356286406,Guided lower,5,4,0.9281912964371359,0.8326520205628847,1.02239733664317,0.6267017583221234,1.076453866009516,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
United_States,United States,Adolescent cases,598.6937175822693,555.7565113714364,0.9282818493833073,0.07171815061669273,Guided lower,6,3,0.9907012250991121,0.9095164357013468,1.0156007071497406,0.7261781689626482,1.0616796641875836,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
United_States,United States,All <18 cases,609.3439658269568,570.4349637667533,0.9361460780080113,0.0638539219919887,Guided lower,5,4,0.9361460780080113,0.8306677499570216,1.0354619398967781,0.7414364437048543,1.0884919665758406,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
United_States,United States,Resistant infections,1920.04294973634,1457.853417042855,0.7592816698413164,0.2407183301586836,Guided lower,9,0,0.7592816698413164,0.5965326187159179,0.775848689201897,0.38674592905001454,0.9194662039623274,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
