country,starting_resistant_fraction,resistance_label,comparator,comparator_label,infectiousness_reduction,comparator_infant_cases_per_100k,minimum_infectiousness_reduction,reached_comparator,matched_comparator,profiles_matching_comparator,countries_evaluated
New_Zealand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,2833.790751018084,0,TRUE,TRUE,6,9
Sweden,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,364.28458956715906,NA,FALSE,FALSE,6,9
Thailand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,610.9930880375833,0,TRUE,TRUE,6,9
United_Kingdom,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,1970.2823656341568,0.1,TRUE,FALSE,6,9
United_States,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,1144.3022163433764,0,TRUE,TRUE,6,9
Australia,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,3549.8855208429213,0,TRUE,TRUE,7,9
Brazil,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,598.7924322756955,0,TRUE,TRUE,7,9
China,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,3525.019242429274,0.6,TRUE,FALSE,7,9
Japan,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,2881.9059636762395,0,TRUE,TRUE,7,9
New_Zealand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,2833.790751018084,0,TRUE,TRUE,7,9
Sweden,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,364.28458956715906,NA,FALSE,FALSE,7,9
Thailand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,610.9930880375833,0,TRUE,TRUE,7,9
United_Kingdom,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,1970.2823656341568,0.1,TRUE,TRUE,7,9
United_States,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,1144.3022163433764,0,TRUE,TRUE,7,9
Australia,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,3549.8855208429213,0,TRUE,TRUE,7,9
Brazil,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,598.7924322756955,0,TRUE,TRUE,7,9
China,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,3525.019242429274,0.6,TRUE,FALSE,7,9
Japan,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,2881.9059636762395,0,TRUE,TRUE,7,9
New_Zealand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,2833.790751018084,0,TRUE,TRUE,7,9
Sweden,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,364.28458956715906,NA,FALSE,FALSE,7,9
Thailand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,610.9930880375833,0,TRUE,TRUE,7,9
United_Kingdom,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,1970.2823656341568,0.1,TRUE,TRUE,7,9
United_States,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,1144.3022163433764,0,TRUE,TRUE,7,9
Australia,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,3549.8855208429213,0,TRUE,TRUE,7,9
Brazil,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,598.7924322756955,0,TRUE,TRUE,7,9
China,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,3525.019242429274,0.6,TRUE,FALSE,7,9
Japan,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,2881.9059636762395,0,TRUE,TRUE,7,9
New_Zealand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,2833.790751018084,0,TRUE,TRUE,7,9
Sweden,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,364.28458956715906,NA,FALSE,FALSE,7,9
Thailand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,610.9930880375833,0,TRUE,TRUE,7,9
United_Kingdom,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,1970.2823656341568,0.1,TRUE,TRUE,7,9
United_States,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,1144.3022163433764,0,TRUE,TRUE,7,9
Australia,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,3549.8855208429213,0,TRUE,TRUE,7,9
Brazil,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,598.7924322756955,0,TRUE,TRUE,7,9
China,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,3525.019242429274,0.6,TRUE,FALSE,7,9
Japan,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,2881.9059636762395,0,TRUE,TRUE,7,9
New_Zealand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,2833.790751018084,0,TRUE,TRUE,7,9
Sweden,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,364.28458956715906,NA,FALSE,FALSE,7,9
Thailand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,610.9930880375833,0,TRUE,TRUE,7,9
United_Kingdom,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,1970.2823656341568,0.1,TRUE,TRUE,7,9
United_States,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,1144.3022163433764,0,TRUE,TRUE,7,9
Australia,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,3549.8855208429213,0,TRUE,TRUE,7,9
Brazil,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,598.7924322756955,0,TRUE,TRUE,7,9
China,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,3525.019242429274,0.6,TRUE,FALSE,7,9
Japan,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,2881.9059636762395,0,TRUE,TRUE,7,9
New_Zealand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,2833.790751018084,0,TRUE,TRUE,7,9
Sweden,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,364.28458956715906,NA,FALSE,FALSE,7,9
Thailand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,610.9930880375833,0,TRUE,TRUE,7,9
United_Kingdom,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,1970.2823656341568,0.1,TRUE,TRUE,7,9
United_States,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,1144.3022163433764,0,TRUE,TRUE,7,9
Australia,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.35,3549.8855208429213,0,TRUE,TRUE,7,9
Brazil,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.35,598.7924322756955,0,TRUE,TRUE,7,9
China,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.35,3525.019242429274,0.6,TRUE,FALSE,7,9
Japan,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.35,2881.9059636762395,0,TRUE,TRUE,7,9
New_Zealand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.35,2833.790751018084,0,TRUE,TRUE,7,9
Sweden,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.35,364.28458956715906,NA,FALSE,FALSE,7,9
Thailand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.35,610.9930880375833,0,TRUE,TRUE,7,9
United_Kingdom,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.35,1970.2823656341568,0.1,TRUE,TRUE,7,9
United_States,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.35,1144.3022163433764,0,TRUE,TRUE,7,9
Australia,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.4,3549.8855208429213,0,TRUE,TRUE,7,9
Brazil,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.4,598.7924322756955,0,TRUE,TRUE,7,9
China,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.4,3525.019242429274,0.6,TRUE,FALSE,7,9
Japan,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.4,2881.9059636762395,0,TRUE,TRUE,7,9
New_Zealand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.4,2833.790751018084,0,TRUE,TRUE,7,9
Sweden,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.4,364.28458956715906,NA,FALSE,FALSE,7,9
Thailand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.4,610.9930880375833,0,TRUE,TRUE,7,9
United_Kingdom,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.4,1970.2823656341568,0.1,TRUE,TRUE,7,9
United_States,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.4,1144.3022163433764,0,TRUE,TRUE,7,9
Australia,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.45,3549.8855208429213,0,TRUE,TRUE,7,9
Brazil,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.45,598.7924322756955,0,TRUE,TRUE,7,9
China,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.45,3525.019242429274,0.6,TRUE,FALSE,7,9
Japan,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.45,2881.9059636762395,0,TRUE,TRUE,7,9
New_Zealand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.45,2833.790751018084,0,TRUE,TRUE,7,9
Sweden,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.45,364.28458956715906,NA,FALSE,FALSE,7,9
Thailand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.45,610.9930880375833,0,TRUE,TRUE,7,9
United_Kingdom,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.45,1970.2823656341568,0.1,TRUE,TRUE,7,9
United_States,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.45,1144.3022163433764,0,TRUE,TRUE,7,9
Australia,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.5,3549.8855208429213,0,TRUE,TRUE,7,9
Brazil,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.5,598.7924322756955,0,TRUE,TRUE,7,9
China,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.5,3525.019242429274,0.6,TRUE,FALSE,7,9
Japan,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.5,2881.9059636762395,0,TRUE,TRUE,7,9
New_Zealand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.5,2833.790751018084,0,TRUE,TRUE,7,9
Sweden,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.5,364.28458956715906,NA,FALSE,FALSE,7,9
Thailand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.5,610.9930880375833,0,TRUE,TRUE,7,9
United_Kingdom,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.5,1970.2823656341568,0.1,TRUE,TRUE,7,9
United_States,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.5,1144.3022163433764,0,TRUE,TRUE,7,9
Australia,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.55,3549.8855208429213,0,TRUE,TRUE,7,9
Brazil,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.55,598.7924322756955,0,TRUE,TRUE,7,9
China,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.55,3525.019242429274,0.6,TRUE,FALSE,7,9
Japan,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.55,2881.9059636762395,0,TRUE,TRUE,7,9
New_Zealand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.55,2833.790751018084,0,TRUE,TRUE,7,9
Sweden,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.55,364.28458956715906,NA,FALSE,FALSE,7,9
Thailand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.55,610.9930880375833,0,TRUE,TRUE,7,9
United_Kingdom,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.55,1970.2823656341568,0.1,TRUE,TRUE,7,9
United_States,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.55,1144.3022163433764,0,TRUE,TRUE,7,9
Australia,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.6,3549.8855208429213,0,TRUE,TRUE,8,9
Brazil,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.6,598.7924322756955,0,TRUE,TRUE,8,9
China,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.6,3525.019242429274,0.6,TRUE,TRUE,8,9
Japan,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.6,2881.9059636762395,0,TRUE,TRUE,8,9
New_Zealand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.6,2833.790751018084,0,TRUE,TRUE,8,9
Sweden,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.6,364.28458956715906,NA,FALSE,FALSE,8,9
Thailand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.6,610.9930880375833,0,TRUE,TRUE,8,9
United_Kingdom,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.6,1970.2823656341568,0.1,TRUE,TRUE,8,9
United_States,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.6,1144.3022163433764,0,TRUE,TRUE,8,9
Australia,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,3549.8855208429213,0,TRUE,TRUE,4,9
Brazil,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,598.7924322756955,0.35,TRUE,FALSE,4,9
China,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,3525.019242429274,0,TRUE,TRUE,4,9
Japan,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,2881.9059636762395,0,TRUE,TRUE,4,9
New_Zealand,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,2833.790751018084,0.05,TRUE,FALSE,4,9
Sweden,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,364.28458956715906,NA,FALSE,FALSE,4,9
Thailand,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,610.9930880375833,0.25,TRUE,FALSE,4,9
United_Kingdom,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,1970.2823656341568,0.6,TRUE,FALSE,4,9
United_States,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,1144.3022163433764,0,TRUE,TRUE,4,9
Australia,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,3549.8855208429213,0,TRUE,TRUE,5,9
Brazil,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,598.7924322756955,0.35,TRUE,FALSE,5,9
China,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,3525.019242429274,0,TRUE,TRUE,5,9
Japan,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,2881.9059636762395,0,TRUE,TRUE,5,9
New_Zealand,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,2833.790751018084,0.05,TRUE,TRUE,5,9
Sweden,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,364.28458956715906,NA,FALSE,FALSE,5,9
Thailand,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,610.9930880375833,0.25,TRUE,FALSE,5,9
United_Kingdom,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,1970.2823656341568,0.6,TRUE,FALSE,5,9
United_States,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,1144.3022163433764,0,TRUE,TRUE,5,9
Australia,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,3549.8855208429213,0,TRUE,TRUE,5,9
Brazil,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,598.7924322756955,0.35,TRUE,FALSE,5,9
China,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,3525.019242429274,0,TRUE,TRUE,5,9
Japan,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,2881.9059636762395,0,TRUE,TRUE,5,9
New_Zealand,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,2833.790751018084,0.05,TRUE,TRUE,5,9
Sweden,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,364.28458956715906,NA,FALSE,FALSE,5,9
Thailand,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,610.9930880375833,0.25,TRUE,FALSE,5,9
United_Kingdom,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,1970.2823656341568,0.6,TRUE,FALSE,5,9
United_States,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.1,1144.3022163433764,0,TRUE,TRUE,5,9
Australia,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,3549.8855208429213,0,TRUE,TRUE,5,9
Brazil,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,598.7924322756955,0.35,TRUE,FALSE,5,9
China,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,3525.019242429274,0,TRUE,TRUE,5,9
Japan,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,2881.9059636762395,0,TRUE,TRUE,5,9
New_Zealand,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,2833.790751018084,0.05,TRUE,TRUE,5,9
Sweden,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,364.28458956715906,NA,FALSE,FALSE,5,9
Thailand,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,610.9930880375833,0.25,TRUE,FALSE,5,9
United_Kingdom,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,1970.2823656341568,0.6,TRUE,FALSE,5,9
United_States,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.15,1144.3022163433764,0,TRUE,TRUE,5,9
Australia,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,3549.8855208429213,0,TRUE,TRUE,5,9
Brazil,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,598.7924322756955,0.35,TRUE,FALSE,5,9
China,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,3525.019242429274,0,TRUE,TRUE,5,9
Japan,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,2881.9059636762395,0,TRUE,TRUE,5,9
New_Zealand,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,2833.790751018084,0.05,TRUE,TRUE,5,9
Sweden,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,364.28458956715906,NA,FALSE,FALSE,5,9
Thailand,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,610.9930880375833,0.25,TRUE,FALSE,5,9
United_Kingdom,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,1970.2823656341568,0.6,TRUE,FALSE,5,9
United_States,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.2,1144.3022163433764,0,TRUE,TRUE,5,9
Australia,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,3549.8855208429213,0,TRUE,TRUE,6,9
Brazil,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,598.7924322756955,0.35,TRUE,FALSE,6,9
China,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,3525.019242429274,0,TRUE,TRUE,6,9
Japan,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,2881.9059636762395,0,TRUE,TRUE,6,9
New_Zealand,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,2833.790751018084,0.05,TRUE,TRUE,6,9
Sweden,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,364.28458956715906,NA,FALSE,FALSE,6,9
Thailand,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,610.9930880375833,0.25,TRUE,TRUE,6,9
United_Kingdom,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,1970.2823656341568,0.6,TRUE,FALSE,6,9
United_States,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.25,1144.3022163433764,0,TRUE,TRUE,6,9
Australia,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,3549.8855208429213,0,TRUE,TRUE,6,9
Brazil,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,598.7924322756955,0.35,TRUE,FALSE,6,9
China,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,3525.019242429274,0,TRUE,TRUE,6,9
Japan,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,2881.9059636762395,0,TRUE,TRUE,6,9
New_Zealand,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,2833.790751018084,0.05,TRUE,TRUE,6,9
Sweden,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,364.28458956715906,NA,FALSE,FALSE,6,9
Thailand,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,610.9930880375833,0.25,TRUE,TRUE,6,9
United_Kingdom,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,1970.2823656341568,0.6,TRUE,FALSE,6,9
United_States,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.3,1144.3022163433764,0,TRUE,TRUE,6,9
Australia,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.35,3549.8855208429213,0,TRUE,TRUE,7,9
Brazil,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.35,598.7924322756955,0.35,TRUE,TRUE,7,9
China,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.35,3525.019242429274,0,TRUE,TRUE,7,9
Japan,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.35,2881.9059636762395,0,TRUE,TRUE,7,9
New_Zealand,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.35,2833.790751018084,0.05,TRUE,TRUE,7,9
Sweden,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.35,364.28458956715906,NA,FALSE,FALSE,7,9
Thailand,0.01,1% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.35,610.9930880375833,0.25,TRUE,TRUE,7,9
