country,scenario,mechanism_label,mechanism_axis_label,metric,mechanism_y,mechanism_y_metric,reduction_vs_baseline,median_reduction_vs_baseline,q25_reduction_vs_baseline,q75_reduction_vs_baseline,resistant_infections_per_100k,baseline_resistant_infections_per_100k,child_adolescent_cases_per_100k,baseline_child_adolescent_cases_per_100k,end_resistant_fraction,resistant_importation,treatment_differential,pep_differential,fitness_R,interpretation
China,equal_treatment_effect,Equalise treatment benefit,"Equalise treatment
benefit",Resistant infections,2,2.18,-0.009547064369115343,-0.00854661164432935,-0.02329595589412503,0.021433640240093532,1505.9202457568344,1491.6790894715857,893.0524052243089,893.1076641497875,0.9999938072988064,yes,no,yes,1,Tests treatment-mediated selection by making resistant treatment effects equal to sensitive-strain effects.
China,equal_treatment_effect,Equalise treatment benefit,"Equalise treatment
benefit",Cases aged <18 years,2,1.82,6.187263607371207e-5,6.187263607371207e-5,-0.009611025572708876,0.01632892862256563,1505.9202457568344,1491.6790894715857,893.0524052243089,893.1076641497875,0.9999938072988064,yes,no,yes,1,Tests treatment-mediated selection by making resistant treatment effects equal to sensitive-strain effects.
China,equal_pep_effect,Equalise resistant-strain PEP effectiveness,"Equalise resistant-strain
PEP effectiveness",Resistant infections,3,3.18,-0.1413974741948787,0.9698751457522258,0.858280433865626,0.9901909681867278,1702.5987450321845,1491.6790894715857,905.5241878385592,893.1076641497875,0.9995590276054797,yes,yes,no,1,Tests PEP-mediated selection by making resistant PEP effectiveness equal to sensitive-strain PEP effectiveness.
China,equal_pep_effect,Equalise resistant-strain PEP effectiveness,"Equalise resistant-strain
PEP effectiveness",Cases aged <18 years,3,2.82,-0.013902605684827263,0.16431071303887856,0.14215289972238176,0.30218799086811476,1702.5987450321845,1491.6790894715857,905.5241878385592,893.1076641497875,0.9995590276054797,yes,yes,no,1,Tests PEP-mediated selection by making resistant PEP effectiveness equal to sensitive-strain PEP effectiveness.
China,no_treatment_or_pep_differential,Equalise treatment and PEP effects,"Equalise treatment
and PEP effects",Resistant infections,4,4.18,-0.14078484682370118,0.9906354224847147,0.8849770871179714,0.99236614390735145,1701.6849015929608,1491.6790894715857,902.0698954353348,893.1076641497875,0.997,yes,no,no,1,Tests neutral strain competition under importation when treatment and PEP do not favor resistant strains.
China,no_treatment_or_pep_differential,Equalise treatment and PEP effects,"Equalise treatment
and PEP effects",Cases aged <18 years,4,3.82,-0.010034883413613027,0.1657367918483007,0.14251598854398473,0.3024461061595871,1701.6849015929608,1491.6790894715857,902.0698954353348,893.1076641497875,0.997,yes,no,no,1,Tests neutral strain competition under importation when treatment and PEP do not favor resistant strains.
China,fitness_cost,Add resistant-strain fitness cost,"Add resistant-strain
fitness cost",Resistant infections,5,5.18,-0.4061841314465857,0.4169485323151928,0.30383093533234806,0.699480191178295,2097.5754648256357,1491.6790894715857,1141.3278295210264,893.1076641497875,0.9999945909923654,yes,yes,yes,0.85,Fitness-cost stress test retaining baseline importation and management assumptions.
China,fitness_cost,Add resistant-strain fitness cost,"Add resistant-strain
fitness cost",Cases aged <18 years,5,4.82,-0.2779286029389718,0.11085645682239265,0.03865101881148447,0.20019117390191699,2097.5754648256357,1491.6790894715857,1141.3278295210264,893.1076641497875,0.9999945909923654,yes,yes,yes,0.85,Fitness-cost stress test retaining baseline importation and management assumptions.
United_Kingdom,no_resistant_importation,Remove further resistant importation,"Remove further
resistant importation",Resistant infections,1,1.18,0.10447109674778432,0.01754215414123317,-0.08448648263685943,0.10447109674778432,1681.8547871793385,1878.0575155882634,893.9432042725225,862.5317408957053,0.999808922169314,no,yes,yes,1,Tests dependence on ongoing resistant-strain importation after the analysis-start anchor.
United_Kingdom,no_resistant_importation,Remove further resistant importation,"Remove further
resistant importation",Cases aged <18 years,1,0.8200000000000001,-0.03641774776218387,-0.014008624361566469,-0.09030322123636969,0.01439029596632968,1681.8547871793385,1878.0575155882634,893.9432042725225,862.5317408957053,0.999808922169314,no,yes,yes,1,Tests dependence on ongoing resistant-strain importation after the analysis-start anchor.
United_Kingdom,equal_treatment_effect,Equalise treatment benefit,"Equalise treatment
benefit",Resistant infections,2,2.18,-0.05462792960611962,-0.00854661164432935,-0.02329595589412503,0.021433640240093532,1980.651909346063,1878.0575155882634,913.2582609337616,862.5317408957053,0.99983586713581,yes,no,yes,1,Tests treatment-mediated selection by making resistant treatment effects equal to sensitive-strain effects.
United_Kingdom,equal_treatment_effect,Equalise treatment benefit,"Equalise treatment
benefit",Cases aged <18 years,2,1.82,-0.05881119225291198,6.187263607371207e-5,-0.009611025572708876,0.01632892862256563,1980.651909346063,1878.0575155882634,913.2582609337616,862.5317408957053,0.99983586713581,yes,no,yes,1,Tests treatment-mediated selection by making resistant treatment effects equal to sensitive-strain effects.
United_Kingdom,equal_pep_effect,Equalise resistant-strain PEP effectiveness,"Equalise resistant-strain
PEP effectiveness",Resistant infections,3,3.18,0.9917796533529547,0.9698751457522258,0.858280433865626,0.9901909681867278,15.438283801224255,1878.0575155882634,732.7365270811906,862.5317408957053,0.01977076674281579,yes,yes,no,1,Tests PEP-mediated selection by making resistant PEP effectiveness equal to sensitive-strain PEP effectiveness.
United_Kingdom,equal_pep_effect,Equalise resistant-strain PEP effectiveness,"Equalise resistant-strain
PEP effectiveness",Cases aged <18 years,3,2.82,0.15048166654102202,0.16431071303887856,0.14215289972238176,0.30218799086811476,15.438283801224255,1878.0575155882634,732.7365270811906,862.5317408957053,0.01977076674281579,yes,yes,no,1,Tests PEP-mediated selection by making resistant PEP effectiveness equal to sensitive-strain PEP effectiveness.
United_Kingdom,no_treatment_or_pep_differential,Equalise treatment and PEP effects,"Equalise treatment
and PEP effects",Resistant infections,4,4.18,0.9972159103016589,0.9906354224847147,0.8849770871179714,0.99236614390735145,5.228680582041273,1878.0575155882634,732.6079829737497,862.5317408957053,0.003,yes,no,no,1,Tests neutral strain competition under importation when treatment and PEP do not favor resistant strains.
United_Kingdom,no_treatment_or_pep_differential,Equalise treatment and PEP effects,"Equalise treatment
and PEP effects",Cases aged <18 years,4,3.82,0.15063069770282878,0.1657367918483007,0.14251598854398473,0.3024461061595871,5.228680582041273,1878.0575155882634,732.6079829737497,862.5317408957053,0.003,yes,no,no,1,Tests neutral strain competition under importation when treatment and PEP do not favor resistant strains.
United_Kingdom,fitness_cost,Add resistant-strain fitness cost,"Add resistant-strain
fitness cost",Resistant infections,5,5.18,0.4169485323151928,0.4169485323151928,0.30383093533234806,0.699480191178295,1095.0041908602198,1878.0575155882634,829.194010352843,862.5317408957053,0.9983804183014248,yes,yes,yes,0.85,Fitness-cost stress test retaining baseline importation and management assumptions.
United_Kingdom,fitness_cost,Add resistant-strain fitness cost,"Add resistant-strain
fitness cost",Cases aged <18 years,5,4.82,0.03865101881148447,0.11085645682239265,0.03865101881148447,0.20019117390191699,1095.0041908602198,1878.0575155882634,829.194010352843,862.5317408957053,0.9983804183014248,yes,yes,yes,0.85,Fitness-cost stress test retaining baseline importation and management assumptions.
Japan,no_resistant_importation,Remove further resistant importation,"Remove further
resistant importation",Resistant infections,1,1.18,0.3228397247207294,0.01754215414123317,-0.08448648263685943,0.10447109674778432,1528.879637578494,2257.7810503546775,1060.4908651130886,1047.806660663328,0.999469232501681,no,yes,yes,1,Tests dependence on ongoing resistant-strain importation after the analysis-start anchor.
Japan,no_resistant_importation,Remove further resistant importation,"Remove further
resistant importation",Cases aged <18 years,1,0.8200000000000001,-0.012105481789675299,-0.014008624361566469,-0.09030322123636969,0.01439029596632968,1528.879637578494,2257.7810503546775,1060.4908651130886,1047.806660663328,0.999469232501681,no,yes,yes,1,Tests dependence on ongoing resistant-strain importation after the analysis-start anchor.
Japan,equal_treatment_effect,Equalise treatment benefit,"Equalise treatment
benefit",Resistant infections,2,2.18,0.032917976421028894,-0.00854661164432935,-0.02329595589412503,0.021433640240093532,2183.4594669752564,2257.7810503546775,1026.935086812692,1047.806660663328,0.9996740392548636,yes,no,yes,1,Tests treatment-mediated selection by making resistant treatment effects equal to sensitive-strain effects.
Japan,equal_treatment_effect,Equalise treatment benefit,"Equalise treatment
benefit",Cases aged <18 years,2,1.82,0.01991929869716913,6.187263607371207e-5,-0.009611025572708876,0.01632892862256563,2183.4594669752564,2257.7810503546775,1026.935086812692,1047.806660663328,0.9996740392548636,yes,no,yes,1,Tests treatment-mediated selection by making resistant treatment effects equal to sensitive-strain effects.
Japan,equal_pep_effect,Equalise resistant-strain PEP effectiveness,"Equalise resistant-strain
PEP effectiveness",Resistant infections,3,3.18,0.24015957700606283,0.9698751457522258,0.858280433865626,0.9901909681867278,1715.553308329194,2257.7810503546775,830.8384795225386,1047.806660663328,0.9506520478258534,yes,yes,no,1,Tests PEP-mediated selection by making resistant PEP effectiveness equal to sensitive-strain PEP effectiveness.
Japan,equal_pep_effect,Equalise resistant-strain PEP effectiveness,"Equalise resistant-strain
PEP effectiveness",Cases aged <18 years,3,2.82,0.20706890811653644,0.16431071303887856,0.14215289972238176,0.30218799086811476,1715.553308329194,2257.7810503546775,830.8384795225386,1047.806660663328,0.9506520478258534,yes,yes,no,1,Tests PEP-mediated selection by making resistant PEP effectiveness equal to sensitive-strain PEP effectiveness.
Japan,no_treatment_or_pep_differential,Equalise treatment and PEP effects,"Equalise treatment
and PEP effects",Resistant infections,4,4.18,0.2982500220426547,0.9906354224847147,0.8849770871179714,0.99236614390735145,1584.3978023189068,2257.7810503546775,824.9590884694151,1047.806660663328,0.827,yes,no,no,1,Tests neutral strain competition under importation when treatment and PEP do not favor resistant strains.
Japan,no_treatment_or_pep_differential,Equalise treatment and PEP effects,"Equalise treatment
and PEP effects",Cases aged <18 years,4,3.82,0.2126800492495785,0.1657367918483007,0.14251598854398473,0.3024461061595871,1584.3978023189068,2257.7810503546775,824.9590884694151,1047.806660663328,0.827,yes,no,no,1,Tests neutral strain competition under importation when treatment and PEP do not favor resistant strains.
Japan,fitness_cost,Add resistant-strain fitness cost,"Add resistant-strain
fitness cost",Resistant infections,5,5.18,0.29098099774495134,0.4169485323151928,0.30383093533234806,0.699480191178295,1600.8096676328291,2257.7810503546775,889.4072835185823,1047.806660663328,0.9993247390033466,yes,yes,yes,0.85,Fitness-cost stress test retaining baseline importation and management assumptions.
Japan,fitness_cost,Add resistant-strain fitness cost,"Add resistant-strain
fitness cost",Cases aged <18 years,5,4.82,0.15117233273213682,0.11085645682239265,0.03865101881148447,0.20019117390191699,1600.8096676328291,2257.7810503546775,889.4072835185823,1047.806660663328,0.9993247390033466,yes,yes,yes,0.85,Fitness-cost stress test retaining baseline importation and management assumptions.
New_Zealand,no_resistant_importation,Remove further resistant importation,"Remove further
resistant importation",Resistant infections,1,1.18,0.05629108604688382,0.01754215414123317,-0.08448648263685943,0.10447109674778432,2095.79978606024,2220.8116878764167,1048.2505510376543,1063.5554284293491,0.998234563042276,no,yes,yes,1,Tests dependence on ongoing resistant-strain importation after the analysis-start anchor.
New_Zealand,no_resistant_importation,Remove further resistant importation,"Remove further
resistant importation",Cases aged <18 years,1,0.8200000000000001,0.01439029596632968,-0.014008624361566469,-0.09030322123636969,0.01439029596632968,2095.79978606024,2220.8116878764167,1048.2505510376543,1063.5554284293491,0.998234563042276,no,yes,yes,1,Tests dependence on ongoing resistant-strain importation after the analysis-start anchor.
New_Zealand,equal_treatment_effect,Equalise treatment benefit,"Equalise treatment
benefit",Resistant infections,2,2.18,-0.02329595589412503,-0.00854661164432935,-0.02329595589412503,0.021433640240093532,2272.547619006343,2220.8116878764167,1073.777286849977,1063.5554284293491,0.9991129245778784,yes,no,yes,1,Tests treatment-mediated selection by making resistant treatment effects equal to sensitive-strain effects.
New_Zealand,equal_treatment_effect,Equalise treatment benefit,"Equalise treatment
benefit",Cases aged <18 years,2,1.82,-0.009611025572708876,6.187263607371207e-5,-0.009611025572708876,0.01632892862256563,2272.547619006343,2220.8116878764167,1073.777286849977,1063.5554284293491,0.9991129245778784,yes,no,yes,1,Tests treatment-mediated selection by making resistant treatment effects equal to sensitive-strain effects.
New_Zealand,equal_pep_effect,Equalise resistant-strain PEP effectiveness,"Equalise resistant-strain
PEP effectiveness",Resistant infections,3,3.18,0.9698751457522258,0.9698751457522258,0.858280433865626,0.9901909681867278,66.90162840903045,2220.8116878764167,912.3679402626371,1063.5554284293491,0.07642948378148132,yes,yes,no,1,Tests PEP-mediated selection by making resistant PEP effectiveness equal to sensitive-strain PEP effectiveness.
New_Zealand,equal_pep_effect,Equalise resistant-strain PEP effectiveness,"Equalise resistant-strain
PEP effectiveness",Cases aged <18 years,3,2.82,0.14215289972238176,0.16431071303887856,0.14215289972238176,0.30218799086811476,66.90162840903045,2220.8116878764167,912.3679402626371,1063.5554284293491,0.07642948378148132,yes,yes,no,1,Tests PEP-mediated selection by making resistant PEP effectiveness equal to sensitive-strain PEP effectiveness.
New_Zealand,no_treatment_or_pep_differential,Equalise treatment and PEP effects,"Equalise treatment
and PEP effects",Resistant infections,4,4.18,0.9906354224847147,0.9906354224847147,0.8849770871179714,0.99236614390735145,20.796963197970403,2220.8116878764167,911.9817751754192,1063.5554284293491,0.01,yes,no,no,1,Tests neutral strain competition under importation when treatment and PEP do not favor resistant strains.
New_Zealand,no_treatment_or_pep_differential,Equalise treatment and PEP effects,"Equalise treatment
and PEP effects",Cases aged <18 years,4,3.82,0.14251598854398473,0.1657367918483007,0.14251598854398473,0.3024461061595871,20.796963197970403,2220.8116878764167,911.9817751754192,1063.5554284293491,0.01,yes,no,no,1,Tests neutral strain competition under importation when treatment and PEP do not favor resistant strains.
New_Zealand,fitness_cost,Add resistant-strain fitness cost,"Add resistant-strain
fitness cost",Resistant infections,5,5.18,0.30383093533234806,0.4169485323151928,0.30383093533234806,0.699480191178295,1546.0603955519143,2220.8116878764167,1009.7437043196124,1063.5554284293491,0.9990463647448772,yes,yes,yes,0.85,Fitness-cost stress test retaining baseline importation and management assumptions.
New_Zealand,fitness_cost,Add resistant-strain fitness cost,"Add resistant-strain
fitness cost",Cases aged <18 years,5,4.82,0.05059606925160964,0.11085645682239265,0.03865101881148447,0.20019117390191699,1546.0603955519143,2220.8116878764167,1009.7437043196124,1063.5554284293491,0.9990463647448772,yes,yes,yes,0.85,Fitness-cost stress test retaining baseline importation and management assumptions.
Sweden,no_resistant_importation,Remove further resistant importation,"Remove further
resistant importation",Resistant infections,1,1.18,-12.87960194943751,0.01754215414123317,-0.08448648263685943,0.10447109674778432,887.413382617893,63.936515315834164,560.4986922570996,175.05911292217542,0.9609474198536108,no,yes,yes,1,Tests dependence on ongoing resistant-strain importation after the analysis-start anchor.
Sweden,no_resistant_importation,Remove further resistant importation,"Remove further
resistant importation",Cases aged <18 years,1,0.8200000000000001,-2.201768150774738,-0.014008624361566469,-0.09030322123636969,0.01439029596632968,887.413382617893,63.936515315834164,560.4986922570996,175.05911292217542,0.9609474198536108,no,yes,yes,1,Tests dependence on ongoing resistant-strain importation after the analysis-start anchor.
Sweden,equal_treatment_effect,Equalise treatment benefit,"Equalise treatment
benefit",Resistant infections,2,2.18,-0.34066042517477024,-0.00854661164432935,-0.02329595589412503,0.021433640240093532,85.71715580751945,63.936515315834164,201.6152902717025,175.05911292217542,0.9923210789753902,yes,no,yes,1,Tests treatment-mediated selection by making resistant treatment effects equal to sensitive-strain effects.
Sweden,equal_treatment_effect,Equalise treatment benefit,"Equalise treatment
benefit",Cases aged <18 years,2,1.82,-0.15169834295534756,6.187263607371207e-5,-0.009611025572708876,0.01632892862256563,85.71715580751945,63.936515315834164,201.6152902717025,175.05911292217542,0.9923210789753902,yes,no,yes,1,Tests treatment-mediated selection by making resistant treatment effects equal to sensitive-strain effects.
Sweden,equal_pep_effect,Equalise resistant-strain PEP effectiveness,"Equalise resistant-strain
PEP effectiveness",Resistant infections,3,3.18,0.858280433865626,0.9698751457522258,0.858280433865626,0.9901909681867278,9.061055210703778,63.936515315834164,243.89486874886111,175.05911292217542,0.02408685153508653,yes,yes,no,1,Tests PEP-mediated selection by making resistant PEP effectiveness equal to sensitive-strain PEP effectiveness.
Sweden,equal_pep_effect,Equalise resistant-strain PEP effectiveness,"Equalise resistant-strain
PEP effectiveness",Cases aged <18 years,3,2.82,-0.3932143530127874,0.16431071303887856,0.14215289972238176,0.30218799086811476,9.061055210703778,63.936515315834164,243.89486874886111,175.05911292217542,0.02408685153508653,yes,yes,no,1,Tests PEP-mediated selection by making resistant PEP effectiveness equal to sensitive-strain PEP effectiveness.
Sweden,no_treatment_or_pep_differential,Equalise treatment and PEP effects,"Equalise treatment
and PEP effects",Resistant infections,4,4.18,0.8849770871179714,0.9906354224847147,0.8849770871179714,0.99236614390735145,7.354164231153682,63.936515315834164,243.9444081648287,175.05911292217542,0.01,yes,no,no,1,Tests neutral strain competition under importation when treatment and PEP do not favor resistant strains.
Sweden,no_treatment_or_pep_differential,Equalise treatment and PEP effects,"Equalise treatment
and PEP effects",Cases aged <18 years,4,3.82,-0.3934973398001682,0.1657367918483007,0.14251598854398473,0.3024461061595871,7.354164231153682,63.936515315834164,243.9444081648287,175.05911292217542,0.01,yes,no,no,1,Tests neutral strain competition under importation when treatment and PEP do not favor resistant strains.
Sweden,fitness_cost,Add resistant-strain fitness cost,"Add resistant-strain
fitness cost",Resistant infections,5,5.18,0.8066949253228737,0.4169485323151928,0.30383093533234806,0.699480191178295,12.359252867722553,63.936515315834164,244.40303461856,175.05911292217542,0.01226601349274712,yes,yes,yes,0.85,Fitness-cost stress test retaining baseline importation and management assumptions.
Sweden,fitness_cost,Add resistant-strain fitness cost,"Add resistant-strain
fitness cost",Cases aged <18 years,5,4.82,-0.3961171774428689,0.11085645682239265,0.03865101881148447,0.20019117390191699,12.359252867722553,63.936515315834164,244.40303461856,175.05911292217542,0.01226601349274712,yes,yes,yes,0.85,Fitness-cost stress test retaining baseline importation and management assumptions.
United_States,no_resistant_importation,Remove further resistant importation,"Remove further
resistant importation",Resistant infections,1,1.18,-0.08448648263685943,0.01754215414123317,-0.08448648263685943,0.10447109674778432,2182.369438471208,2012.3528263486664,778.534892659236,714.0535563826013,0.8646096953455494,no,yes,yes,1,Tests dependence on ongoing resistant-strain importation after the analysis-start anchor.
United_States,no_resistant_importation,Remove further resistant importation,"Remove further
resistant importation",Cases aged <18 years,1,0.8200000000000001,-0.09030322123636969,-0.014008624361566469,-0.09030322123636969,0.01439029596632968,2182.369438471208,2012.3528263486664,778.534892659236,714.0535563826013,0.8646096953455494,no,yes,yes,1,Tests dependence on ongoing resistant-strain importation after the analysis-start anchor.
United_States,equal_treatment_effect,Equalise treatment benefit,"Equalise treatment
benefit",Resistant infections,2,2.18,-0.00854661164432935,-0.00854661164432935,-0.02329595589412503,0.021433640240093532,2029.5516244468372,2012.3528263486664,719.5105464967384,714.0535563826013,0.978781248409334,yes,no,yes,1,Tests treatment-mediated selection by making resistant treatment effects equal to sensitive-strain effects.
United_States,equal_treatment_effect,Equalise treatment benefit,"Equalise treatment
benefit",Cases aged <18 years,2,1.82,-0.007642270058540346,6.187263607371207e-5,-0.009611025572708876,0.01632892862256563,2029.5516244468372,2012.3528263486664,719.5105464967384,714.0535563826013,0.978781248409334,yes,no,yes,1,Tests treatment-mediated selection by making resistant treatment effects equal to sensitive-strain effects.
United_States,equal_pep_effect,Equalise resistant-strain PEP effectiveness,"Equalise resistant-strain
PEP effectiveness",Resistant infections,3,3.18,0.9844971774889038,0.9698751457522258,0.858280433865626,0.9901909681867278,31.197148696586204,2012.3528263486664,498.2751468071109,714.0535563826013,0.04192817631764674,yes,yes,no,1,Tests PEP-mediated selection by making resistant PEP effectiveness equal to sensitive-strain PEP effectiveness.
United_States,equal_pep_effect,Equalise resistant-strain PEP effectiveness,"Equalise resistant-strain
PEP effectiveness",Cases aged <18 years,3,2.82,0.30218799086811476,0.16431071303887856,0.14215289972238176,0.30218799086811476,31.197148696586204,2012.3528263486664,498.2751468071109,714.0535563826013,0.04192817631764674,yes,yes,no,1,Tests PEP-mediated selection by making resistant PEP effectiveness equal to sensitive-strain PEP effectiveness.
United_States,no_treatment_or_pep_differential,Equalise treatment and PEP effects,"Equalise treatment
and PEP effects",Resistant infections,4,4.18,0.99236614390735145,0.9906354224847147,0.8849770871179714,0.99236614390735145,15.362011883980268,2012.3528263486664,498.09083866527834,714.0535563826013,0.01,yes,no,no,1,Tests neutral strain competition under importation when treatment and PEP do not favor resistant strains.
United_States,no_treatment_or_pep_differential,Equalise treatment and PEP effects,"Equalise treatment
and PEP effects",Cases aged <18 years,4,3.82,0.3024461061595871,0.1657367918483007,0.14251598854398473,0.3024461061595871,15.362011883980268,2012.3528263486664,498.09083866527834,714.0535563826013,0.01,yes,no,no,1,Tests neutral strain competition under importation when treatment and PEP do not favor resistant strains.
United_States,fitness_cost,Add resistant-strain fitness cost,"Add resistant-strain
fitness cost",Resistant infections,5,5.18,0.5069199034572076,0.4169485323151928,0.30383093533234806,0.699480191178295,992.2511258941616,2012.3528263486664,571.1063367015297,714.0535563826013,0.998222327229458,yes,yes,yes,0.85,Fitness-cost stress test retaining baseline importation and management assumptions.
United_States,fitness_cost,Add resistant-strain fitness cost,"Add resistant-strain
fitness cost",Cases aged <18 years,5,4.82,0.20019117390191699,0.11085645682239265,0.03865101881148447,0.20019117390191699,992.2511258941616,2012.3528263486664,571.1063367015297,714.0535563826013,0.998222327229458,yes,yes,yes,0.85,Fitness-cost stress test retaining baseline importation and management assumptions.
Brazil,no_resistant_importation,Remove further resistant importation,"Remove further
resistant importation",Resistant infections,1,1.18,-0.07764877887831378,0.01754215414123317,-0.08448648263685943,0.10447109674778432,1002.3059026862576,930.0858705834771,472.3254110420293,465.8001911368474,0.9602220994130932,no,yes,yes,1,Tests dependence on ongoing resistant-strain importation after the analysis-start anchor.
Brazil,no_resistant_importation,Remove further resistant importation,"Remove further
resistant importation",Cases aged <18 years,1,0.8200000000000001,-0.014008624361566469,-0.014008624361566469,-0.09030322123636969,0.01439029596632968,1002.3059026862576,930.0858705834771,472.3254110420293,465.8001911368474,0.9602220994130932,no,yes,yes,1,Tests dependence on ongoing resistant-strain importation after the analysis-start anchor.
Brazil,equal_treatment_effect,Equalise treatment benefit,"Equalise treatment
benefit",Resistant infections,2,2.18,0.021433640240093532,-0.00854661164432935,-0.02329595589412503,0.021433640240093532,910.1507446409967,930.0858705834771,460.9244142526796,465.8001911368474,0.9561833818385328,yes,no,yes,1,Tests treatment-mediated selection by making resistant treatment effects equal to sensitive-strain effects.
Brazil,equal_treatment_effect,Equalise treatment benefit,"Equalise treatment
benefit",Cases aged <18 years,2,1.82,0.010467528732154063,6.187263607371207e-5,-0.009611025572708876,0.01632892862256563,910.1507446409967,930.0858705834771,460.9244142526796,465.8001911368474,0.9561833818385328,yes,no,yes,1,Tests treatment-mediated selection by making resistant treatment effects equal to sensitive-strain effects.
