comparator,comparator_label,starting_resistant_fraction,seed_label,infectiousness_reduction,profiles_matching_comparator,countries_evaluated
infant_exposure_reduction_strategy,Infant-exposure composite,0.05,5%,0,0,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.05,5%,0.05,0,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.05,5%,0.1,0,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.05,5%,0.15,0,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.05,5%,0.2,0,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.05,5%,0.25,0,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.05,5%,0.3,1,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.05,5%,0.35,1,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.05,5%,0.4,2,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.05,5%,0.45,2,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.05,5%,0.5,3,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.05,5%,0.55,3,9
infant_exposure_reduction_strategy,Infant-exposure composite,0.05,5%,0.6,4,9
resistance_guided_treatment,Resistance-guided management,0,0%,0,1,9
resistance_guided_treatment,Resistance-guided management,0,0%,0.05,3,9
resistance_guided_treatment,Resistance-guided management,0,0%,0.1,4,9
resistance_guided_treatment,Resistance-guided management,0,0%,0.15,4,9
resistance_guided_treatment,Resistance-guided management,0,0%,0.2,5,9
resistance_guided_treatment,Resistance-guided management,0,0%,0.25,6,9
resistance_guided_treatment,Resistance-guided management,0,0%,0.3,6,9
resistance_guided_treatment,Resistance-guided management,0,0%,0.35,7,9
resistance_guided_treatment,Resistance-guided management,0,0%,0.4,7,9
resistance_guided_treatment,Resistance-guided management,0,0%,0.45,7,9
resistance_guided_treatment,Resistance-guided management,0,0%,0.5,7,9
resistance_guided_treatment,Resistance-guided management,0,0%,0.55,7,9
resistance_guided_treatment,Resistance-guided management,0,0%,0.6,7,9
resistance_guided_treatment,Resistance-guided management,0.01,1%,0,4,9
resistance_guided_treatment,Resistance-guided management,0.01,1%,0.05,4,9
resistance_guided_treatment,Resistance-guided management,0.01,1%,0.1,4,9
resistance_guided_treatment,Resistance-guided management,0.01,1%,0.15,4,9
resistance_guided_treatment,Resistance-guided management,0.01,1%,0.2,5,9
resistance_guided_treatment,Resistance-guided management,0.01,1%,0.25,5,9
resistance_guided_treatment,Resistance-guided management,0.01,1%,0.3,5,9
resistance_guided_treatment,Resistance-guided management,0.01,1%,0.35,5,9
resistance_guided_treatment,Resistance-guided management,0.01,1%,0.4,6,9
resistance_guided_treatment,Resistance-guided management,0.01,1%,0.45,6,9
resistance_guided_treatment,Resistance-guided management,0.01,1%,0.5,7,9
resistance_guided_treatment,Resistance-guided management,0.01,1%,0.55,7,9
resistance_guided_treatment,Resistance-guided management,0.01,1%,0.6,7,9
resistance_guided_treatment,Resistance-guided management,0.03,3%,0,4,9
resistance_guided_treatment,Resistance-guided management,0.03,3%,0.05,4,9
resistance_guided_treatment,Resistance-guided management,0.03,3%,0.1,4,9
resistance_guided_treatment,Resistance-guided management,0.03,3%,0.15,4,9
resistance_guided_treatment,Resistance-guided management,0.03,3%,0.2,5,9
resistance_guided_treatment,Resistance-guided management,0.03,3%,0.25,5,9
resistance_guided_treatment,Resistance-guided management,0.03,3%,0.3,5,9
resistance_guided_treatment,Resistance-guided management,0.03,3%,0.35,5,9
resistance_guided_treatment,Resistance-guided management,0.03,3%,0.4,6,9
resistance_guided_treatment,Resistance-guided management,0.03,3%,0.45,6,9
resistance_guided_treatment,Resistance-guided management,0.03,3%,0.5,7,9
resistance_guided_treatment,Resistance-guided management,0.03,3%,0.55,7,9
resistance_guided_treatment,Resistance-guided management,0.03,3%,0.6,7,9
resistance_guided_treatment,Resistance-guided management,0.05,5%,0,0,9
resistance_guided_treatment,Resistance-guided management,0.05,5%,0.05,0,9
resistance_guided_treatment,Resistance-guided management,0.05,5%,0.1,0,9
resistance_guided_treatment,Resistance-guided management,0.05,5%,0.15,0,9
resistance_guided_treatment,Resistance-guided management,0.05,5%,0.2,0,9
resistance_guided_treatment,Resistance-guided management,0.05,5%,0.25,0,9
resistance_guided_treatment,Resistance-guided management,0.05,5%,0.3,1,9
resistance_guided_treatment,Resistance-guided management,0.05,5%,0.35,1,9
resistance_guided_treatment,Resistance-guided management,0.05,5%,0.4,2,9
resistance_guided_treatment,Resistance-guided management,0.05,5%,0.45,2,9
resistance_guided_treatment,Resistance-guided management,0.05,5%,0.5,2,9
resistance_guided_treatment,Resistance-guided management,0.05,5%,0.55,2,9
resistance_guided_treatment,Resistance-guided management,0.05,5%,0.6,2,9
