country,burden_group,outcome,population,analysis_years,reported_cases,estimated_infections,rate_per_100k
New_Zealand,Infant,Estimated reports,54340.24486719915,26.013698630136986,15727.633361272356,64926.15440804726,1112.6016014706593
New_Zealand,Infant,Estimated infections,54340.24486719915,26.013698630136986,15727.633361272356,64926.15440804726,4592.995125992736
New_Zealand,Children,Estimated reports,528738.1474419389,26.013698630136986,26609.882534157226,604741.2002815804,193.46401999709764
New_Zealand,Children,Estimated infections,528738.1474419389,26.013698630136986,26609.882534157226,604741.2002815804,4396.699741690533
New_Zealand,Adolescent,Estimated reports,491660.7732594651,26.013698630136986,7020.070600431691,538298.8746016987,54.887546160634415
New_Zealand,Adolescent,Estimated infections,491660.7732594651,26.013698630136986,7020.070600431691,538298.8746016987,4208.775952495606
South_Africa,Infant,Estimated reports,1075272.018187568,26.013698630136986,82887.74667557987,312700.36891579925,296.32608583548324
South_Africa,Infant,Estimated infections,1075272.018187568,26.013698630136986,82887.74667557987,312700.36891579925,1117.9128408786867
South_Africa,Children,Estimated reports,10280876.208214462,26.013698630136986,153148.09707269658,3571961.061485903,57.26369533305195
South_Africa,Children,Estimated infections,10280876.208214462,26.013698630136986,153148.09707269658,3571961.061485903,1335.5940679390908
South_Africa,Adolescent,Estimated reports,9048177.354150744,26.013698630136986,64097.05454743166,4934498.1354591595,27.231706871120746
South_Africa,Adolescent,Estimated infections,9048177.354150744,26.013698630136986,64097.05454743166,4934498.1354591595,2096.4271717271918
Sweden,Infant,Estimated reports,96543.81605794549,26.013698630136986,10453.36028988748,43324.30604314969,416.22614201054563
Sweden,Infant,Estimated infections,96543.81605794549,26.013698630136986,10453.36028988748,43324.30604314969,1725.0633537494255
Sweden,Children,Estimated reports,946043.6228204258,26.013698630136986,21299.59784938941,485735.8611201112,86.5482192524326
Sweden,Children,Estimated infections,946043.6228204258,26.013698630136986,21299.59784938941,485735.8611201112,1973.7261756891653
Sweden,Adolescent,Estimated reports,904446.7259062058,26.013698630136986,8661.37605822056,662675.399094792,36.81304990429502
Sweden,Adolescent,Estimated infections,904446.7259062058,26.013698630136986,8661.37605822056,662675.399094792,2816.5388932710835
Thailand,Infant,Estimated reports,499309.28907828813,26.013698630136986,43094.981772051964,147237.44798926776,331.7836274482773
Thailand,Infant,Estimated infections,499309.28907828813,26.013698630136986,43094.981772051964,147237.44798926776,1133.5652686547194
Thailand,Children,Estimated reports,4998030.967149142,26.013698630136986,79219.2114448101,1665841.1863032791,60.92976005295198
Thailand,Children,Estimated infections,4998030.967149142,26.013698630136986,79219.2114448101,1665841.1863032791,1281.2460754989402
Thailand,Adolescent,Estimated reports,5016990.291729027,26.013698630136986,34756.42955398002,2302680.866763258,26.63114202821138
Thailand,Adolescent,Estimated infections,5016990.291729027,26.013698630136986,34756.42955398002,2302680.866763258,1764.364809485875
United_Kingdom,Infant,Estimated reports,680678.6226820287,26.013698630136986,219333.7630238261,926590.5671262458,1238.686127157487
United_Kingdom,Infant,Estimated infections,680678.6226820287,26.013698630136986,219333.7630238261,926590.5671262458,5232.914737935668
United_Kingdom,Children,Estimated reports,6610409.391052753,26.013698630136986,362814.97051551734,8456799.692542473,210.98653377889255
United_Kingdom,Children,Estimated infections,6610409.391052753,26.013698630136986,362814.97051551734,8456799.692542473,4917.853448706105
United_Kingdom,Adolescent,Estimated reports,6212161.323699313,26.013698630136986,84067.63752744869,6667020.637957995,52.02163684356769
United_Kingdom,Adolescent,Estimated infections,6212161.323699313,26.013698630136986,84067.63752744869,6667020.637957995,4125.5985853436105
United_States,Infant,Estimated reports,3651564.1679638466,26.013698630136986,48835.18398014777,175667.18701373224,51.410495161203606
United_States,Infant,Estimated infections,3651564.1679638466,26.013698630136986,48835.18398014777,175667.18701373224,184.93095206978276
United_States,Children,Estimated reports,35229964.78285961,26.013698630136986,101727.17747468385,2038558.4914423146,11.099992390384646
United_States,Children,Estimated infections,35229964.78285961,26.013698630136986,101727.17747468385,2038558.4914423146,222.43793943850417
United_States,Adolescent,Estimated reports,32177239.87235772,26.013698630136986,47558.246634356976,3214318.9815891217,5.681656086225474
United_States,Adolescent,Estimated infections,32177239.87235772,26.013698630136986,47558.246634356976,3214318.9815891217,384.00606198174296
