country,strategy,total_infections,reported_cases,total_infant_cases,resistant_infections,relative_reduction_infant_cases,relative_reduction_total_infections
Sweden,maternal_direct_antibody_only,1121564.2450907626,32293.98830800433,9162.025369471947,159668.75149201427,0.066339744945625,0.009397756360766896
Sweden,maternal_adult_boosting_only,1024669.9634894665,30707.67342035205,9282.801950501396,64554.17002832881,0.05403195393859672,0.09497795666600062
Sweden,maternal_cocooning_only,1126916.5400211618,32675.67543617248,9501.972051600362,164948.82077858044,0.03169732766980404,0.004670434328275408
Sweden,resistance_guided_treatment,979419.0649069615,29692.610733560454,8971.076771319376,12146.886474330973,0.08579844645145585,0.13494503109684897
Sweden,transmission_blocking_vaccine,777749.5453404876,25283.402674324465,7507.1853593416145,11471.051626121369,0.2349769494528987,0.3130661502664678
Sweden,next_generation_vaccine,629172.360677704,21620.69835712738,6455.712632940738,9112.366861022621,0.3421277435540879,0.44429438184106074
Sweden,combined_strategy,616243.476660533,21587.31464420066,5949.979848642217,8327.904094221321,0.3936646670329116,0.4557135952933623
United_States,current,182009979.3882866,3541347.00801228,1219491.3958750807,176448710.6051038,0.0,0.0
United_States,higher_child_coverage,182154928.17464712,3556415.6642490635,1221837.9960760963,176634941.83842915,-0.001924244983566803,-0.0007963782362245819
United_States,adolescent_booster,182024582.6202619,3541738.0625045095,1219559.2353923293,176458968.66193876,-5.5629352923691755e-05,-8.023313899818696e-05
United_States,pregnancy_tdap_scaleup,181440904.72671425,3447728.6283486825,1090988.9321225611,175894095.14554876,0.10537381746782148,0.003126612416994523
United_States,cocooning_adjunct,174925702.94939357,3336330.191211118,1123463.4204858788,170256288.32106283,0.07874428283300372,0.03892246162931512
United_States,maternal_immunization,174457340.78717178,3251685.3120206725,1006205.1479195425,169794933.05880556,0.17489770627080858,0.04149573900562109
United_States,targeted_pep_high_risk,178148380.4664875,3459731.9696030957,1185236.8749343082,176614843.0305993,0.028089186243247077,0.021216413159198533
United_States,maternal_direct_antibody_only,181440904.72671425,3447728.6283486825,1090988.9321225611,175894095.14554876,0.10537381746782148,0.003126612416994523
United_States,maternal_adult_boosting_only,175172325.50626248,3367133.60037583,1170805.4053639509,170492194.87919468,0.03992319312445314,0.03756746693233326
United_States,maternal_cocooning_only,181690816.7995504,3506823.0066928556,1167592.5032857158,176147533.745175,0.04255781776313672,0.0017535444474464645
United_States,resistance_guided_treatment,148420505.55643708,2791514.726524667,909501.4813473882,127827552.79712527,0.2541960653238151,0.1845474294582069
United_States,transmission_blocking_vaccine,148966106.85831967,2736312.4083243757,878898.218273534,146894724.0864805,0.27929116905096685,0.18154978447348524
United_States,next_generation_vaccine,93130946.31821823,1597054.0252998723,499179.6924821129,91269696.11053911,0.5906656708111397,0.4883195601075281
United_States,combined_strategy,62436129.130142674,1023891.77780461,260781.95215012535,59798176.80153535,0.7861551520312335,0.656963154767761
Brazil,current,71471112.59747328,1382621.4175093637,403556.64405957976,48404844.10726404,0.0,0.0
Brazil,higher_child_coverage,71495908.4486111,1375302.8972676685,403183.0443273449,48920667.303078234,0.0009257677645363449,-0.0003469352894709399
Brazil,adolescent_booster,70053820.6012276,1340397.034406845,395719.24882719177,48656831.901184015,0.01942080584660355,0.01983027750285493
Brazil,pregnancy_tdap_scaleup,71133507.42309716,1353230.6548385606,367876.7472730895,48185579.75632541,0.08841360267933696,0.004723659141526393
Brazil,cocooning_adjunct,62359195.2593714,1172676.7146275607,329684.83913757413,42328855.27054421,0.18305188629504865,0.12749091215943953
Brazil,maternal_immunization,62067251.025012046,1148648.5369435474,300705.35536211816,42134842.189512946,0.25486208742056293,0.1315756986381892
Brazil,targeted_pep_high_risk,76800299.8978558,1475906.7516190251,429861.8223667018,69261080.11543654,-0.06518336073594266,-0.07456421352213471
Brazil,maternal_direct_antibody_only,71133507.42309716,1353230.6548385606,367876.7472730895,48185579.75632541,0.08841360267933696,0.004723659141526393
Brazil,maternal_adult_boosting_only,62579852.94573695,1186212.402810638,346853.80834321264,42465713.60934161,0.14050774916245878,0.12440354331423487
Brazil,maternal_cocooning_only,71216347.83081985,1366141.7010923356,382429.6922660419,48250019.382992156,0.052351886914836054,0.003564583751316075
Brazil,resistance_guided_treatment,45227364.99916166,863365.6905151743,234209.90612142143,20704610.760389004,0.41963560860902727,0.36719377444306656
Brazil,transmission_blocking_vaccine,40586296.1158501,753544.1103971314,201939.9296792741,31149835.374122266,0.49959954159629605,0.4321300642899891
Brazil,next_generation_vaccine,29914795.19944453,517727.8853085791,130588.51663547377,24473238.770703904,0.6764059802811867,0.5814421503702447
Brazil,combined_strategy,4480706.908668684,91754.57665082638,22885.834403084657,133642.1249140458,0.9432896602249823,0.937307441484728
Thailand,current,24137470.098846905,399129.51193656103,108772.54962199964,23564388.885393687,0.0,0.0
Thailand,higher_child_coverage,23642316.985409863,386822.746319362,105194.29204785878,23097890.841336586,0.03289669669945061,0.02051387785916703
Thailand,adolescent_booster,21415393.646873713,349167.45541815483,96779.28072611913,20921752.391185984,0.11026006963667634,0.1127738922441267
Thailand,pregnancy_tdap_scaleup,24135524.7863123,389876.9166762609,94866.06132950619,23562077.304809276,0.12784924450902835,8.059305828811425e-05
Thailand,cocooning_adjunct,19787061.213326845,315302.94545458467,83623.44144326412,19328201.54014061,0.2312082254772212,0.18023466700132285
Thailand,maternal_immunization,19716804.97941261,307131.083762521,72690.71958770473,19256225.887978777,0.33171816013952504,0.1831453379882375
Thailand,targeted_pep_high_risk,23875247.11970827,395091.9865248783,107736.27562873285,23668949.125627168,0.009526980813339359,0.010863730874229538
Thailand,maternal_direct_antibody_only,24135524.7863123,389876.9166762609,94866.06132950619,23562077.304809276,0.12784924450902835,8.059305828811425e-05
Thailand,maternal_adult_boosting_only,19805894.97074955,317885.0894078032,87662.89350274057,19347296.076220885,0.1940715391210207,0.17945439643669547
Thailand,maternal_cocooning_only,24152271.51118531,396367.96648208535,103607.88051893553,23579836.695248492,0.04748136474700726,-0.0006132130781639766
Thailand,resistance_guided_treatment,13585065.262106914,218904.67308389617,56052.99077556195,11874604.86200688,0.4846770534445114,0.43717940585844994
Thailand,transmission_blocking_vaccine,12674081.929800611,202123.9163924663,52868.90531279662,12313554.433845252,0.513949930414211,0.4749208646184474
Thailand,next_generation_vaccine,10860930.538281329,166060.76412716485,42241.73009723493,10567680.920831148,0.6116508232634883,0.5500385709933959
Thailand,combined_strategy,1374927.2374532092,19768.609654649186,3997.42259847268,822666.1302733612,0.9632497113254741,0.94303764098629
