country,strategy,strategy_label,primary_case_reduction,primary_cases_per_100k,current_primary_cases_per_100k,implementation_intensity,primary_case_rank_within_programme_only,margin_to_best_cases_per_100k,margin_to_best_percentage_points,near_best_5_cases,lowest_burden_in_programme_only,deterministic_not_clearly_surpassed,uncertainty_scope
Australia,timeliness_only,Routine schedule timeliness,0.14540345344780214,929.4317832502816,1082.0060289049727,1,1,0,0,TRUE,TRUE,TRUE,conditional scenario point estimate; no posterior interval
Brazil,targeted_pep_high_risk,Targeted high-risk PEP,-0.06422702098267652,495.7171497785267,465.8001911368474,1,6,134.37609436283674,28.92468062129401,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
China,timeliness_only,Routine schedule timeliness,0.07071577888227709,830.6678083221036,893.1076641497875,1,1,0,0,TRUE,TRUE,TRUE,conditional scenario point estimate; no posterior interval
China,maternal_immunization,Infant-exposure package,0.02679039886461709,869.1809532448335,893.1076641497875,3,2,38.51314492272991,4.392538001766,FALSE,FALSE,TRUE,conditional scenario point estimate; no posterior interval
China,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.02508880772829169,870.7006575466029,893.1076641497875,1,3,40.03284922449927,4.5626971153985405,FALSE,FALSE,TRUE,conditional scenario point estimate; no posterior interval
China,targeted_pep_high_risk,Targeted high-risk PEP,0.00493108491760929,888.7036751737153,893.1076641497875,1,4,58.03586685161167,6.5784693964667795,FALSE,FALSE,TRUE,conditional scenario point estimate; no posterior interval
China,cocooning_adjunct,Close-contact adult adjuncts,0.00234018910588451,891.0176237209411,893.1076641497875,2,5,60.34981539883745,6.837558977639258,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
China,adolescent_booster,Adolescent booster scale-up,-1.1185987602457e-4,893.2075670174736,893.1076641497875,1,6,62.53975869536998,7.082763875830166,FALSE,FALSE,TRUE,conditional scenario point estimate; no posterior interval
Japan,timeliness_only,Routine schedule timeliness,0.07154103424970493,972.8402637155392,1047.806660663328,1,1,0,0,TRUE,TRUE,TRUE,conditional scenario point estimate; no posterior interval
Japan,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.0297088833261756,1016.6774948790144,1047.806660663328,1,2,43.83723116347517,4.183215092352933,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
Japan,targeted_pep_high_risk,Targeted high-risk PEP,0.02408662270640427,1022.5685369577756,1047.806660663328,1,3,49.728273242236355,4.745441154330066,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
Japan,maternal_immunization,Infant-exposure package,0.01054259386101852,1036.760060108598,1047.806660663328,3,4,63.919796393058846,6.099844038868641,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
Japan,adolescent_booster,Adolescent booster scale-up,-0.00197071323205988,1049.87158706344,1047.806660663328,1,5,77.03132334790087,7.351174748176481,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
Japan,cocooning_adjunct,Close-contact adult adjuncts,-0.01231771728568942,1060.7132465826603,1047.806660663328,2,6,87.8729828671211,8.385875153539434,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
New_Zealand,timeliness_only,Routine schedule timeliness,0.17158234423782082,881.2137863322911,1063.5554284293491,1,1,0,0,TRUE,TRUE,TRUE,conditional scenario point estimate; no posterior interval
New_Zealand,maternal_immunization,Infant-exposure package,0.0284873296534508,1033.257574277346,1063.5554284293491,3,2,152.043787945055,14.309501458437001,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
New_Zealand,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.02298150415698074,1039.1133248800786,1063.5554284293491,1,3,157.89953854778753,14.860084008084007,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
New_Zealand,targeted_pep_high_risk,Targeted high-risk PEP,0.01757751206989299,1044.8607700158068,1063.5554284293491,1,4,163.6469836835157,15.400483216792782,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
New_Zealand,cocooning_adjunct,Close-contact adult adjuncts,0.00595962161227991,1057.2170405140355,1063.5554284293491,2,5,176.0032541817444,16.56227226255409,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
New_Zealand,adolescent_booster,Adolescent booster scale-up,-1.5616245510186e-4,1063.721515856463,1063.5554284293491,1,6,182.50772952417185,17.173850669292268,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
Sweden,maternal_immunization,Infant-exposure package,0.1023267529989268,157.1458823303691,175.05911292217542,3,1,0,0,TRUE,TRUE,FALSE,conditional scenario point estimate; no posterior interval
Sweden,cocooning_adjunct,Close-contact adult adjuncts,0.0928034205241106,158.8130284603577,175.05911292217542,2,2,1.6671461299886232,0.9523332474816195,TRUE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
Sweden,timeliness_only,Routine schedule timeliness,0.1383445338688829,166.42257777495288,175.05911292217542,1,3,9.276695444583794,-3.6017780869956106,FALSE,FALSE,TRUE,conditional scenario point estimate; no posterior interval
Sweden,targeted_pep_high_risk,Targeted high-risk PEP,0.04485472814720959,167.206884032947,175.05911292217542,1,4,10.061001702577897,5.747202485171721,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
Sweden,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.01580858573039212,172.29167593384415,175.05911292217542,1,5,15.145793603475056,8.651816726853468,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
Sweden,adolescent_booster,Adolescent booster scale-up,0.003450985220799,174.45498651001253,175.05911292217542,1,6,17.30910417964344,9.88757677781278,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
Thailand,timeliness_only,Routine schedule timeliness,0.2648215904760386,368.01580256057406,500.45337136408864,1,1,0,0,TRUE,TRUE,TRUE,conditional scenario point estimate; no posterior interval
Thailand,maternal_immunization,Infant-exposure package,0.17845096696677298,411.1469833639898,500.45337136408864,3,2,43.13118080341576,8.637062350926561,FALSE,FALSE,TRUE,conditional scenario point estimate; no posterior interval
Thailand,cocooning_adjunct,Close-contact adult adjuncts,0.16715013123421751,416.8025247312934,500.45337136408864,2,3,48.786722170719315,9.767145924182108,FALSE,FALSE,TRUE,conditional scenario point estimate; no posterior interval
Thailand,adolescent_booster,Adolescent booster scale-up,0.1615226138820991,419.6188346149896,500.45337136408864,1,4,51.603032054415564,10.32989765939395,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
Thailand,targeted_pep_high_risk,Targeted high-risk PEP,0.01325391942576803,493.82040295878113,500.45337136408864,1,5,125.80460039820707,25.156767105027058,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
Thailand,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.01133744321848562,494.7795097299033,500.45337136408864,1,6,126.76370716932922,25.348414725755298,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
United_Kingdom,timeliness_only,Routine schedule timeliness,0.1733916985563475,712.9139313523726,862.5317408957053,1,1,0,0,TRUE,TRUE,TRUE,conditional scenario point estimate; no posterior interval
United_Kingdom,targeted_pep_high_risk,Targeted high-risk PEP,0.02552135172499592,840.5187650603236,862.5317408957053,1,2,127.604833707951,14.787034683135158,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
United_Kingdom,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.02461607805219268,841.2995921643379,862.5317408957053,1,3,128.3856608119653,14.877562050415483,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
United_Kingdom,maternal_immunization,Infant-exposure package,0.0225666283258541,843.0673076355923,862.5317408957053,3,4,130.1533762832197,15.082507023049342,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
United_Kingdom,cocooning_adjunct,Close-contact adult adjuncts,0.01394939335500999,850.4999464151978,862.5317408957053,2,5,137.58601506282514,15.94423052013375,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
United_Kingdom,adolescent_booster,Adolescent booster scale-up,-0.00457869779004749,866.4810130811811,862.5317408957053,1,6,153.5670817288085,17.7970396346395,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
United_States,timeliness_only,Routine schedule timeliness,0.14666964821875306,609.3703830698836,714.0535563826013,1,1,0,0,TRUE,TRUE,TRUE,conditional scenario point estimate; no posterior interval
United_States,maternal_immunization,Infant-exposure package,0.04426660983516373,682.4448262813912,714.0535563826013,3,2,73.07444321150763,10.240303838358933,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
United_States,cocooning_adjunct,Close-contact adult adjuncts,0.03268899404488978,690.7118639433772,714.0535563826013,2,3,81.34148087349365,11.398065417386327,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
United_States,targeted_pep_high_risk,Targeted high-risk PEP,0.02119600640080499,698.9184727260571,714.0535563826013,1,4,89.54808965617349,12.547364181794807,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
United_States,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.012974293168863,704.7892161977255,714.0535563826013,1,5,95.41883312784194,13.369535504989006,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
United_States,adolescent_booster,Adolescent booster scale-up,-2.1304295496982e-4,714.2056804625383,714.0535563826013,1,6,104.83529739265475,14.688269117372288,FALSE,FALSE,FALSE,conditional scenario point estimate; no posterior interval
