ordering_basis,strategy,strategy_label,primary_case_metric,country_count,effective_country_weight_sum,weighted_median_primary_case_reduction,weighted_iqr_primary_case_reduction,weighted_median_primary_cases_per_100k,strategy_rank_within_basis
age_pattern_pass_filter,resistance_guided_treatment,Resistance-guided management,child_adolescent_0_17y,1,1.0,0.20113036727100397,0.2011 to 0.2011,570.4349637667533,4.0
age_pattern_pass_filter,timeliness_only,Routine timeliness,child_adolescent_0_17y,1,1.0,0.14663998333584904,0.1466 to 0.1466,609.3439658269568,5.0
age_pattern_pass_filter,maternal_immunization,Infant-exposure package,child_adolescent_0_17y,1,1.0,0.04426937073392878,0.04427 to 0.04427,682.4419711809376,6.0
age_pattern_pass_filter,cocooning_adjunct,Close-contact adult adjunct,child_adolescent_0_17y,1,1.0,0.032691760717525,0.03269 to 0.03269,690.7089940838513,7.0
age_pattern_pass_filter,targeted_pep_high_risk,Targeted high-risk PEP,child_adolescent_0_17y,1,1.0,0.021201026361728492,0.0212 to 0.0212,698.9139831926634,8.0
age_pattern_pass_filter,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,child_adolescent_0_17y,1,1.0,0.012974343008523626,0.01297 to 0.01297,704.7882680925351,9.0
age_pattern_pass_filter,current,Current practice,child_adolescent_0_17y,1,1.0,0.0,0 to 0,714.0526318644839,10.0
age_pattern_pass_filter,adolescent_booster,Adolescent booster,child_adolescent_0_17y,1,1.0,-0.00021292579027121228,-0.0002129 to -0.0002129,714.2046720854189,11.0
age_pattern_pass_filter,higher_child_coverage,Nominal coverage floor,child_adolescent_0_17y,1,1.0,-0.00499882461882839,-0.004999 to -0.004999,717.6220557397874,12.0
age_pattern_weighted,combined_strategy,Combined future stress-test profile,child_adolescent_0_17y,4,1.30107787630431,0.6266989507979851,0.3757 to 0.7052,165.7745094362181,1.0
age_pattern_weighted,next_generation_vaccine,High-transmission-blocking vaccine target,child_adolescent_0_17y,4,1.30107787630431,0.42206614254632585,0.3747 to 0.5132,209.04453333536597,2.0
age_pattern_weighted,transmission_blocking_vaccine,Transmission-blocking vaccine target,child_adolescent_0_17y,4,1.30107787630431,0.2074492920188588,0.1474 to 0.258,371.3343334564107,3.0
age_pattern_weighted,timeliness_only,Routine timeliness,child_adolescent_0_17y,4,1.30107787630431,0.14635876411483345,0.146 to 0.1487,425.33771926461327,4.0
age_pattern_weighted,resistance_guided_treatment,Resistance-guided management,child_adolescent_0_17y,4,1.30107787630431,0.13927933514041213,0.1142 to 0.1777,403.7723244881032,5.0
age_pattern_weighted,maternal_immunization,Infant-exposure package,child_adolescent_0_17y,4,1.30107787630431,0.035875968977467254,0.02479 to 0.06097,472.82892184332525,6.0
age_pattern_weighted,cocooning_adjunct,Close-contact adult adjunct,child_adolescent_0_17y,4,1.30107787630431,0.021291349703527186,0.006236 to 0.04997,478.4640485710821,7.0
age_pattern_weighted,targeted_pep_high_risk,Targeted high-risk PEP,child_adolescent_0_17y,4,1.30107787630431,0.01660500271750832,0.01054 to 0.02781,486.8191695473455,8.0
age_pattern_weighted,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,child_adolescent_0_17y,4,1.30107787630431,0.013287998297214805,0.01297 to 0.01695,492.3465170222868,9.0
age_pattern_weighted,current,Current practice,child_adolescent_0_17y,4,1.30107787630431,0.0,0 to 0,499.0231690997117,10.0
age_pattern_weighted,adolescent_booster,Adolescent booster,child_adolescent_0_17y,4,1.30107787630431,-0.0009724871718489606,-0.003533 to -4.337e-05,498.8719861985192,11.0
age_pattern_weighted,higher_child_coverage,Nominal coverage floor,child_adolescent_0_17y,4,1.30107787630431,-0.008467182050613292,-0.02016 to -0.002932,498.30859457062786,12.0
all_profiles_unweighted,combined_strategy,Combined future stress-test profile,child_adolescent_0_17y,9,9.0,0.5836887028197866,0.4102 to 0.8769,156.48723740753772,1.0
all_profiles_unweighted,next_generation_vaccine,High-transmission-blocking vaccine target,child_adolescent_0_17y,9,9.0,0.42537840626861745,0.3778 to 0.6351,228.71288999770962,2.0
all_profiles_unweighted,transmission_blocking_vaccine,Transmission-blocking vaccine target,child_adolescent_0_17y,9,9.0,0.2340063832732826,0.1538 to 0.2708,390.9703548162305,3.0
all_profiles_unweighted,resistance_guided_treatment,Resistance-guided management,child_adolescent_0_17y,9,9.0,0.16849534683644285,0.1287 to 0.2683,434.0950515784119,4.0
all_profiles_unweighted,timeliness_only,Routine timeliness,child_adolescent_0_17y,9,9.0,0.1502798582155685,0.08977 to 0.2198,488.62992863433635,5.0
all_profiles_unweighted,maternal_immunization,Infant-exposure package,child_adolescent_0_17y,9,9.0,0.05041469547777949,0.02304 to 0.1173,546.8083270405592,6.0
all_profiles_unweighted,cocooning_adjunct,Close-contact adult adjunct,child_adolescent_0_17y,9,9.0,0.03547406300150996,0.003539 to 0.1063,553.7702081200296,7.0
all_profiles_unweighted,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,child_adolescent_0_17y,9,9.0,0.017758538510694866,0.01175 to 0.01993,599.7939870826223,8.0
all_profiles_unweighted,targeted_pep_high_risk,Targeted high-risk PEP,child_adolescent_0_17y,9,9.0,0.017234557826581676,0.006579 to 0.02332,596.3741000598432,9.0
all_profiles_unweighted,current,Current practice,child_adolescent_0_17y,9,9.0,0.0,0 to 0,607.2635949579117,10.0
all_profiles_unweighted,adolescent_booster,Adolescent booster,child_adolescent_0_17y,9,9.0,-0.00012667525268639235,-0.001699 to 0.002601,575.228045781274,11.0
all_profiles_unweighted,higher_child_coverage,Nominal coverage floor,child_adolescent_0_17y,9,9.0,-0.004815579125476033,-0.006642 to 0.006371,599.6106788753339,12.0
